query,week_start,impressions,clicks,position
chatgpt oʻzbek tilida,2026-08-24,24,1,7.5
chatgpt oʻzbek tilida,2026-08-31,39,0,7.2
chatgpt oʻzbek tilida,2026-09-07,20,1,6.8
chatgpt oʻzbek tilida,2026-09-14,15,0,5.7
chatgpt oʻzbekcha,2026-08-24,6,0,7.7
chatgpt oʻzbekcha,2026-08-31,49,1,7.3
chatgpt oʻzbekcha,2026-09-07,54,1,6.8
chatgpt oʻzbekcha,2026-09-14,9,0,6.1
chatgpt skachat uzbek tilida,2026-08-24,13,1,8.3
chatgpt skachat uzbek tilida,2026-08-31,56,0,6.8
chatgpt skachat uzbek tilida,2026-09-07,57,1,7.4
chatgpt skachat uzbek tilida,2026-09-14,11,0,7.8
chatgpt tarjima,2026-08-10,3,0,5.3
chatgpt tarjima,2026-08-17,20,0,8.1
chatgpt tarjima,2026-08-24,41,0,6.2
chatgpt tarjima,2026-08-31,117,0,6.9
chatgpt tarjima,2026-09-07,150,3,6.4
chatgpt tarjima,2026-09-14,16,0,4.5
chatgpt uzbek,2026-08-17,1,0,10.0
chatgpt uzbek,2026-08-24,8,0,6.4
chatgpt uzbek,2026-08-31,43,0,6.4
chatgpt uzbek,2026-09-07,48,0,6.4
chatgpt uzbek,2026-09-14,2,0,6.0
chatgpt uzbek tilida,2026-07-06,1,0,42.0
chatgpt uzbek tilida,2026-08-03,2,0,9.0
chatgpt uzbek tilida,2026-08-10,5,0,8.3
chatgpt uzbek tilida,2026-08-17,10,0,13.3
chatgpt uzbek tilida,2026-08-24,66,0,7.2
chatgpt uzbek tilida,2026-08-31,137,1,6.3
chatgpt uzbek tilida,2026-09-07,37,0,6.9
chatgpt uzbek tilida,2026-09-14,34,0,5.7
chatgpt uzbek tilida gaplashish,2026-08-03,2,0,6.0
chatgpt uzbek tilida gaplashish,2026-08-10,2,0,7.0
chatgpt uzbek tilida gaplashish,2026-08-17,10,0,8.3
chatgpt uzbek tilida gaplashish,2026-08-24,131,2,7.7
chatgpt uzbek tilida gaplashish,2026-08-31,300,3,7.4
chatgpt uzbek tilida gaplashish,2026-09-07,132,1,6.1
chatgpt uzbek tilida gaplashish,2026-09-14,74,0,5.9
chatgpt uzbek tilida skachat,2026-08-24,6,0,7.8
chatgpt uzbek tilida skachat,2026-08-31,47,0,7.5
chatgpt uzbek tilida skachat,2026-09-07,42,0,7.8
chatgpt uzbek tilida skachat,2026-09-14,5,0,7.8
chatgpt uzbekcha,2026-08-17,1,0,28.0
chatgpt uzbekcha,2026-08-24,130,1,6.6
chatgpt uzbekcha,2026-08-31,462,3,6.5
chatgpt uzbekcha,2026-09-07,313,1,6.1
chatgpt uzbekcha,2026-09-14,78,1,5.4
chatgpt uzbekcha bepul,2026-08-24,146,2,6.5
chatgpt uzbekcha bepul,2026-08-31,260,2,5.7
chatgpt uzbekcha bepul,2026-09-07,485,4,5.1
chatgpt uzbekcha bepul,2026-09-14,76,1,4.6
chatgpt uzbekcha online,2026-08-10,4,0,8.0
chatgpt uzbekcha online,2026-08-17,85,2,7.1
chatgpt uzbekcha online,2026-08-24,166,1,5.8
chatgpt uzbekcha online,2026-08-31,364,4,4.3
chatgpt uzbekcha online,2026-09-07,399,0,5.0
chatgpt uzbekcha online,2026-09-14,65,0,6.2
chatgpt uzbekcha скачать,2026-08-24,7,0,5.9
chatgpt uzbekcha скачать,2026-08-31,23,0,11.7
chatgpt uzbekcha скачать,2026-09-07,238,2,8.3
chatgpt uzbekcha скачать,2026-09-14,59,1,8.7
chatgpt uzbekistan,2026-08-03,2,0,10.5
chatgpt uzbekistan,2026-08-10,4,1,8.0
chatgpt uzbekistan,2026-08-17,15,0,5.6
chatgpt uzbekistan,2026-08-24,31,0,5.9
chatgpt uzbekistan,2026-08-31,49,0,4.6
chatgpt uzbekistan,2026-09-07,63,3,3.9
chatgpt uzbekistan,2026-09-14,5,0,4.8
chatgpt yozish,2026-08-31,30,0,9.2
chatgpt yozish,2026-09-07,21,0,8.9
chatgpt yozish,2026-09-14,192,1,8.9
chatgpt yuklab olish,2026-07-27,1,0,18.0
chatgpt yuklab olish,2026-08-03,2,0,11.0
chatgpt yuklab olish,2026-08-10,112,2,6.2
chatgpt yuklab olish,2026-08-17,121,1,7.6
chatgpt yuklab olish,2026-08-24,561,5,7.7
chatgpt yuklab olish,2026-08-31,1056,15,7.8
chatgpt yuklab olish,2026-09-07,1695,27,6.6
chatgpt yuklab olish,2026-09-14,314,0,6.3
chatgpt yuklab olish kompyuter uchun,2026-08-03,2,0,9.0
chatgpt yuklab olish kompyuter uchun,2026-08-10,3,0,8.8
chatgpt yuklab olish kompyuter uchun,2026-08-17,13,0,7.8
chatgpt yuklab olish kompyuter uchun,2026-08-24,20,0,6.9
chatgpt yuklab olish kompyuter uchun,2026-08-31,42,0,7.2
chatgpt yuklab olish kompyuter uchun,2026-09-07,50,0,6.9
chatgpt yuklab olish kompyuter uchun,2026-09-14,9,0,6.9
chatgpt yuklash,2026-08-24,7,0,8.6
chatgpt yuklash,2026-08-31,49,0,7.2
chatgpt yuklash,2026-09-07,51,0,7.5
chatgpt yuklash,2026-09-14,10,1,7.8
chatgpt yuklash apk,2026-08-24,7,1,8.5
chatgpt yuklash apk,2026-08-31,25,1,6.3
chatgpt yuklash apk,2026-09-07,32,1,7.6
chatgpt yuklash apk,2026-09-14,1,0,10.0
chatgpt скачать uzbek tilida,2026-08-24,7,0,6.7
chatgpt скачать uzbek tilida,2026-08-31,25,1,5.9
chatgpt скачать uzbek tilida,2026-09-07,40,0,7.3
chatgpt скачать uzbek tilida,2026-09-14,3,0,8.0
chatgpt узбекча,2026-08-17,1,0,10.0
chatgpt узбекча,2026-08-31,15,0,8.4
chatgpt узбекча,2026-09-07,78,0,6.2
chatgpt узбекча,2026-09-14,5,0,6.4
chatgptga kirish,2026-08-31,20,0,3.2
chatgptga kirish,2026-09-07,37,1,3.6
chatgptga kirish,2026-09-14,7,0,4.7
jaji piti online,2026-08-24,1,0,17.0
jaji piti online,2026-08-31,213,0,6.7
jaji piti online,2026-09-07,396,4,6.8
jaji piti online,2026-09-14,60,0,7.4
onlayn chatgpt,2026-08-24,16,0,4.8
onlayn chatgpt,2026-08-31,14,0,7.0
onlayn chatgpt,2026-09-07,34,0,6.8
onlayn chatgpt,2026-09-14,23,0,5.7
seo продвижение,2026-08-03,28,0,72.0
seo продвижение,2026-08-10,6,0,70.0
seo продвижение,2026-08-17,20,0,62.7
seo продвижение,2026-08-24,100,0,63.0
seo продвижение,2026-08-31,96,0,55.1
seo продвижение,2026-09-07,13,0,56.4
чат гпт узбекча,2026-08-17,12,1,6.1
чат гпт узбекча,2026-08-24,51,1,5.3
чат гпт узбекча,2026-08-31,58,1,6.1
чат гпт узбекча,2026-09-07,44,0,5.5
чат гпт узбекча,2026-09-14,11,0,5.0
