query,week_start,clicks,impressions,position
chatgpt uzbekcha bepul,2026-09-14,1,76,4.6
chatgpt uzbekcha online,2026-08-10,0,4,8.0
chatgpt uzbekcha online,2026-08-17,2,85,7.1
chatgpt uzbekcha online,2026-08-24,1,166,5.8
chatgpt uzbekcha online,2026-08-31,4,364,4.3
chatgpt uzbekcha online,2026-09-07,0,399,5.0
chatgpt uzbekcha online,2026-09-14,0,65,6.2
chatgpt uzbekcha скачать,2026-08-24,0,7,5.9
chatgpt uzbekcha скачать,2026-08-31,0,23,11.7
chatgpt uzbekcha скачать,2026-09-07,2,238,8.3
chatgpt uzbekcha скачать,2026-09-14,1,59,8.7
chatgpt uzbekistan,2026-08-03,0,2,10.5
chatgpt uzbekistan,2026-08-10,1,4,8.0
chatgpt uzbekistan,2026-08-17,0,15,5.6
chatgpt uzbekistan,2026-08-24,0,31,5.9
chatgpt uzbekistan,2026-08-31,0,49,4.6
chatgpt uzbekistan,2026-09-07,3,63,3.9
chatgpt uzbekistan,2026-09-14,0,5,4.8
chatgpt yuklab olish,2026-07-27,0,1,18.0
chatgpt yuklab olish,2026-08-03,0,2,11.0
chatgpt yuklab olish,2026-08-10,2,112,6.2
chatgpt yuklab olish,2026-08-17,1,121,7.6
chatgpt yuklab olish,2026-08-24,5,561,7.7
chatgpt yuklab olish,2026-08-31,15,1056,7.8
chatgpt yuklab olish,2026-09-07,27,1695,6.6
chatgpt yuklab olish,2026-09-14,0,314,6.3
chatgpt yuklab olish uzbek tilida,2026-07-20,0,1,35.0
chatgpt yuklab olish uzbek tilida,2026-07-27,0,42,9.5
chatgpt yuklab olish uzbek tilida,2026-08-03,1,568,9.1
chatgpt yuklab olish uzbek tilida,2026-08-10,9,1110,7.8
chatgpt yuklab olish uzbek tilida,2026-08-17,10,1460,7.5
chatgpt yuklab olish uzbek tilida,2026-08-24,32,1674,4.4
chatgpt yuklab olish uzbek tilida,2026-08-31,50,2565,4.2
chatgpt yuklab olish uzbek tilida,2026-09-07,74,3490,4.2
chatgpt yuklab olish uzbek tilida,2026-09-14,11,572,4.0
chatgpt yuklash apk,2026-08-24,1,7,8.5
chatgpt yuklash apk,2026-08-31,1,25,6.3
chatgpt yuklash apk,2026-09-07,1,32,7.6
chatgpt yuklash apk,2026-09-14,0,1,10.0
chatgpt на узбекском,2026-08-03,1,5,7.2
chatgpt на узбекском,2026-08-10,0,10,7.6
chatgpt на узбекском,2026-08-17,0,11,6.8
chatgpt на узбекском,2026-08-24,0,15,4.6
chatgpt на узбекском,2026-08-31,2,18,4.0
chatgpt на узбекском,2026-09-07,0,21,3.3
chatgpt на узбекском,2026-09-14,0,2,4.5
gptbot,2026-06-22,1,1,1.0
gptbot,2026-07-06,0,1,1.0
gptbot,2026-07-13,1,2,3.0
gptbot,2026-07-20,1,1,2.0
gptbot,2026-08-03,1,1,1.0
gptbot,2026-08-17,3,3,1.0
gptbot,2026-08-24,1,1,1.0
gptbot,2026-08-31,1,1,1.0
gptbot,2026-09-07,1,2,1.0
jaji piti online,2026-08-24,0,1,17.0
jaji piti online,2026-08-31,0,213,6.7
jaji piti online,2026-09-07,4,396,6.8
jaji piti online,2026-09-14,0,60,7.4
как оплатить чат gpt в узбекистане,2026-08-17,0,6,1.0
как оплатить чат gpt в узбекистане,2026-08-24,1,5,1.4
как оплатить чат gpt в узбекистане,2026-08-31,4,9,1.1
как оплатить чат gpt в узбекистане,2026-09-07,0,2,1.5
чат гпт узбекча,2026-08-17,1,12,6.1
чат гпт узбекча,2026-08-24,1,51,5.3
чат гпт узбекча,2026-08-31,1,58,6.1
чат гпт узбекча,2026-09-07,0,44,5.5
чат гпт узбекча,2026-09-14,0,11,5.0
чат джипити узбекча,2026-08-24,0,13,6.6
чат джипити узбекча,2026-08-31,0,7,8.9
чат джипити узбекча,2026-09-07,4,16,5.2
чат джипити узбекча,2026-09-14,0,2,4.0
