query,topic,language,total_impressions_90d,total_clicks_90d,competing_urls,urls,clicks_per_url,impressions_per_url,positions_per_url,dominant_url,dominant_share_pct,dominant_url_last28,dominant_url_prev28,dominant_url_changed,same_locale,verdict,note,likely_primary_url
chat gpt uz,chatgpt_online,en,104,1,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,1 | 0,68 | 36,5.0 | 5.5,https://gptbot.uz/ru/gpt-chat/,65.4,https://gptbot.uz/ru/gpt-chat/,https://gptbot.uz/ru/gpt-chat/,False,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
onlayn chatgpt,chatgpt_online,uz,87,0,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,0 | 0,67 | 20,6.3 | 5.5,https://gptbot.uz/ru/gpt-chat/,77.0,https://gptbot.uz/ru/gpt-chat/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
chat gpt 4 uzbekistan,chatgpt_online,en,85,1,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/ru/gpt-chat/,1 | 0,55 | 30,6.7 | 6.2,https://gptbot.uz/uz/gpt-uzbek-tilida/,64.7,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/uz/gpt-uzbek-tilida/
chat gpt uzb,chatgpt_online,uz,51,2,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,2 | 0,41 | 10,4.0 | 6.9,https://gptbot.uz/ru/gpt-chat/,80.4,https://gptbot.uz/ru/gpt-chat/,https://gptbot.uz/ru/gpt-chat/,False,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
чати пити узбекча,other,uz,42,1,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/ru/gpt-chat/,0 | 1,28 | 14,7.6 | 6.1,https://gptbot.uz/uz/gpt-uzbek-tilida/,66.7,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/ru/gpt-chat/
чат gpt узбек тилида,chatgpt_online,uz,31,0,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/ru/gpt-chat/,0 | 0,26 | 5,6.5 | 5.4,https://gptbot.uz/uz/gpt-uzbek-tilida/,83.9,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,False,language_variant_not_cannibalization,RU and UZ versions serve different language intents,https://gptbot.uz/uz/gpt-uzbek-tilida/
разработка сайта под ключ,webdev,ru,36,0,2,https://gptbot.uz/ru/razrabotka-saytov-tashkent/ | https://gptbot.uz/ru/razrabotka-sayta-pod-klyuch/,0 | 0,22 | 14,76.7 | 88.6,https://gptbot.uz/ru/razrabotka-saytov-tashkent/,61.1,https://gptbot.uz/ru/razrabotka-saytov-tashkent/,https://gptbot.uz/ru/razrabotka-saytov-tashkent/,False,True,legacy_redirect_not_cannibalization,one of the URLs is a 301 legacy URL Google still reports,https://gptbot.uz/ru/razrabotka-saytov-tashkent/
seo продвижение сайтов,seo,ru,156,0,2,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/ | https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/,0 | 0,140 | 16,64.3 | 21.4,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,89.7,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,False,True,minor_overlap,dominant URL holds >=85% of impressions,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
chatgpt скачать uzbek tilida,chatgpt_download,uz,76,1,2,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,1 | 0,68 | 8,6.8 | 9.1,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,89.5,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,,,True,minor_overlap,dominant URL holds >=85% of impressions,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
instagram direct nima,instagram_bots,uz,44,0,2,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/ | https://gptbot.uz/uz/instagram-uchun-ai-menejer/,0 | 0,38 | 5,7.8 | 8.2,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,86.4,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,False,True,minor_overlap,dominant URL holds >=85% of impressions,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/
chatgpt ochish,chatgpt_login,uz,3365,24,2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/ | https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,11 | 10,1855 | 1287,5.9 | 6.5,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,55.1,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,True,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt kirish uzbek tilida,chatgpt_login,uz,2960,8,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,7 | 1,1936 | 959,5.9 | 9.8,https://gptbot.uz/uz/gpt-uzbek-tilida/,65.4,https://gptbot.uz/uz/gpt-uzbek-tilida/,https://gptbot.uz/uz/gpt-uzbek-tilida/,False,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt ochish uzbek tilida,chatgpt_login,uz,484,1,2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/ | https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0 | 1,322 | 112,6.1 | 6.3,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,66.5,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,True,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/
chatgpt online kirish,chatgpt_login,uz,146,0,3,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/ | https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,0 | 0 | 0,101 | 28 | 17,5.2 | 5.9 | 6.9,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,69.2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,,,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt ga kirish,chatgpt_login,uz,122,0,2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/ | https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,0 | 0,95 | 25,7.9 | 8.2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,77.9,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,,,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
chatgpt 4 uzbek tilida,chatgpt_online,uz,112,0,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,0 | 0,90 | 21,9.1 | 9.1,https://gptbot.uz/uz/gpt-uzbek-tilida/,80.4,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/gpt-uzbek-tilida/
chatgpt uzbek tilida skachat,chatgpt_download,uz,102,0,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,0 | 0,60 | 41,8.2 | 7.2,https://gptbot.uz/uz/gpt-uzbek-tilida/,58.8,https://gptbot.uz/uz/gpt-uzbek-tilida/,,,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/gpt-uzbek-tilida/
бот для инстаграм директ,instagram_bots,ru,80,0,2,https://gptbot.uz/ru/instagram-direct-bot/ | https://gptbot.uz/ru/blog/instagram-direct-bot-kak-rabotaet/,0 | 0,53 | 27,26.2 | 29.4,https://gptbot.uz/ru/instagram-direct-bot/,66.2,https://gptbot.uz/ru/instagram-direct-bot/,https://gptbot.uz/ru/instagram-direct-bot/,False,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/ru/instagram-direct-bot/
чат гпт на узбекском,chatgpt_online,ru,73,0,2,https://gptbot.uz/ru/gpt-chat/ | https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,0 | 0,43 | 30,5.0 | 6.8,https://gptbot.uz/ru/gpt-chat/,58.9,https://gptbot.uz/ru/gpt-chat/,https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,True,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/ru/gpt-chat/
chat gpt uzbek tilida,chatgpt_online,uz,62,0,2,https://gptbot.uz/uz/gpt-uzbek-tilida/ | https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,0 | 0,52 | 10,5.7 | 9.9,https://gptbot.uz/uz/gpt-uzbek-tilida/,83.9,https://gptbot.uz/uz/gpt-uzbek-tilida/,https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,True,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/gpt-uzbek-tilida/
chat gpt kirish,chatgpt_login,uz,43,0,2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/ | https://gptbot.uz/uz/gpt-uzbek-tilida/,0 | 0,33 | 10,7.8 | 9.2,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,76.7,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,,,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/
как оплатить чат gpt в узбекистане,chatgpt_payment,ru,43,5,2,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/ | https://gptbot.uz/ru/blog/chatgpt-i-claude-v-uzbekistane/,5 | 0,22 | 21,1.8 | 1.6,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,51.2,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,,,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/
автоматизация приема заявок,leads_automation,ru,39,0,2,https://gptbot.uz/ru/avtomatizatsiya-zayavok/ | https://gptbot.uz/ru/blog/avtomatizatsiya-zayavok-instruktsiya/,0 | 0,22 | 16,40.2 | 59.7,https://gptbot.uz/ru/avtomatizatsiya-zayavok/,56.4,https://gptbot.uz/ru/avtomatizatsiya-zayavok/,https://gptbot.uz/ru/avtomatizatsiya-zayavok/,False,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/ru/avtomatizatsiya-zayavok/
разработка чат ботов ташкент,chatbot_dev,ru,37,0,2,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/ | https://gptbot.uz/ru/stoimost-chat-bota/,0 | 0,15 | 5,17.9 | 73.4,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/,40.5,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/,https://gptbot.uz/ru/blog/razrabotka-chat-bota/,True,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/
продвижение сайта,seo,ru,35,0,2,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/ | https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/,0 | 0,21 | 11,62.2 | 13.8,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,60.0,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/,False,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/ru/blog/chto-takoe-seo-prodvizhenie/
gptbot,brand,neutral,30,11,2,https://gptbot.uz/ | https://gptbot.uz/ru/,10 | 0,13 | 6,1.4 | 2.7,https://gptbot.uz/,43.3,https://gptbot.uz/,https://gptbot.uz/,False,False,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/
instagramda direct nima,instagram_bots,uz,30,0,2,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/ | https://gptbot.uz/uz/instagram-uchun-ai-menejer/,0 | 0,17 | 13,9.4 | 7.6,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,56.7,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/,False,True,true_candidate,two same-locale URLs split impressions for the same query,https://gptbot.uz/uz/blog/instagram-direct-ai-bot-qanday-ishlaydi/
