query,clicks,impressions,ctr,position,topic,topic_group,language,intent,is_brand,is_local,is_commercial_modifier,position_bucket,fine_bucket,expected_ctr_site,ctr_gap,ctr_ratio,potential_extra_clicks_28d,norm_impressions,top10_proximity,commercial_relevance,service_fit,improvement_probability,difficulty,opportunity_score,top_page_28d,top_page_impressions_28d,pages_ranking_28d,quick_win_type
chatgpt yuklab olish uzbek tilida,176,9604,0.0183256976259891,4.675239483548522,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,4-6,0.015625,-0.0027,1.17,0.0,0.907,1.0,0.5,1.0,0.4,2,9.07,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,9601,3,volume_pos4_10
chatgpt yuklab olish,48,3732,0.0128617363344051,7.064844587352626,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0043,1.5,0.0,0.813,1.0,0.5,1.0,0.4,2,8.13,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,3732,1,volume_pos4_10
chatgpt uz,12,685,0.0175182481751824,5.097810218978102,chatgpt_online,chatgpt_product,neutral,transactional,False,True,False,4-10,4-6,0.015625,-0.0019,1.12,0.0,0.646,1.0,0.6,1.0,0.4,2,7.75,https://gptbot.uz/ru/gpt-chat/,368,3,volume_pos4_10
chatgpt uzbek tilida gaplashish,6,647,0.0092735703245749,7.049459041731066,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0007,1.09,0.0,0.64,1.0,0.6,1.0,0.4,2,7.68,https://gptbot.uz/uz/gpt-uzbek-tilida/,638,3,volume_pos4_10
chatgpt ilovasini yuklab olish,54,1930,0.0279792746113989,5.722279792746114,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,4-6,0.015625,-0.0124,1.79,0.0,0.748,1.0,0.5,1.0,0.4,2,7.48,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1930,1,volume_pos4_10
chatgpt bepul,4,241,0.0165975103734439,6.294605809128631,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0081,1.94,0.0,0.543,1.0,0.6,1.0,0.4,2,6.52,https://gptbot.uz/ru/gpt-chat/,223,2,volume_pos4_10
chat gpt yuklash,7,613,0.0114192495921696,7.192495921696574,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0029,1.34,0.0,0.635,1.0,0.5,1.0,0.4,2,6.35,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,613,2,volume_pos4_10
chat gpt uzbekcha,5,180,0.0277777777777777,6.216666666666667,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0192,3.25,0.0,0.514,1.0,0.6,1.0,0.4,2,6.17,https://gptbot.uz/uz/gpt-uzbek-tilida/,161,3,volume_pos4_10
чат гпт узбекча,3,176,0.0170454545454545,5.607954545454546,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,4-6,0.015625,-0.0014,1.09,0.0,0.512,1.0,0.6,1.0,0.4,2,6.14,https://gptbot.uz/uz/gpt-uzbek-tilida/,136,2,volume_pos4_10
chatgpt uzbekistan,3,161,0.0186335403726708,4.7018633540372665,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,4-6,0.015625,-0.003,1.19,0.0,0.503,1.0,0.6,1.0,0.4,2,6.04,https://gptbot.uz/ru/gpt-chat/,90,3,volume_pos4_10
chatgpt uzbekcha скачать,3,327,0.0091743119266055,8.629969418960243,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0006,1.07,0.0,0.573,1.0,0.5,1.0,0.4,2,5.73,https://gptbot.uz/ru/gpt-chat/,243,3,volume_pos4_10
chatgpt oʻzbekcha,2,118,0.0169491525423728,7.0,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0084,1.98,0.0,0.473,1.0,0.6,1.0,0.4,2,5.68,https://gptbot.uz/uz/gpt-uzbek-tilida/,117,2,volume_pos4_10
chatgpt uzb,2,112,0.0178571428571428,4.9375,chatgpt_online,chatgpt_product,uz,transactional,False,True,False,4-10,4-6,0.015625,-0.0022,1.14,0.0,0.467,1.0,0.6,1.0,0.4,2,5.6,https://gptbot.uz/ru/gpt-chat/,83,2,volume_pos4_10
chatgpt oʻzbek tilida,2,106,0.0188679245283018,6.811320754716981,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0103,2.21,0.0,0.462,1.0,0.6,1.0,0.4,2,5.54,https://gptbot.uz/uz/gpt-uzbek-tilida/,101,2,volume_pos4_10
chatgpt o'zbekcha,1,106,0.0094339622641509,6.59433962264151,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0009,1.1,0.0,0.462,1.0,0.6,1.0,0.4,2,5.54,https://gptbot.uz/uz/gpt-uzbek-tilida/,103,2,volume_pos4_10
chat gpt 4 uzbekistan,1,85,0.0117647058823529,6.541176470588235,chatgpt_online,chatgpt_product,en,transactional,False,True,False,4-10,7-10,0.0085470085470085,-0.0032,1.38,0.0,0.44,1.0,0.6,1.0,0.4,2,5.28,https://gptbot.uz/uz/gpt-uzbek-tilida/,55,2,volume_pos4_10
chatgpt на узбекском,2,66,0.0303030303030303,4.454545454545455,chatgpt_online,chatgpt_product,ru,transactional,False,False,False,4-10,4-6,0.015625,-0.0147,1.94,0.0,0.416,1.0,0.6,1.0,0.4,2,4.99,https://gptbot.uz/ru/gpt-chat/,64,4,volume_pos4_10
чат джипити узбек тилида,1,62,0.0161290322580645,7.82258064516129,chatgpt_online,chatgpt_product,uz,transactional,False,False,False,4-10,7-10,0.0085470085470085,-0.0076,1.89,0.0,0.41,1.0,0.6,1.0,0.4,2,4.92,https://gptbot.uz/uz/gpt-uzbek-tilida/,62,1,volume_pos4_10
chatgpt skachat uzbek tilida,2,137,0.0145985401459854,7.087591240875913,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0061,1.71,0.0,0.487,1.0,0.5,1.0,0.4,2,4.87,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,126,2,volume_pos4_10
chatgpt yuklash,1,117,0.0085470085470085,7.401709401709402,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,0.0,1.0,0.0,0.472,1.0,0.5,1.0,0.4,2,4.72,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,117,1,volume_pos4_10
chatgpt kirish login,3,115,0.0260869565217391,6.2,chatgpt_login,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0175,3.05,0.0,0.47,1.0,0.5,1.0,0.4,2,4.7,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,111,3,volume_pos4_10
chatgpt скачать uzbek tilida,1,75,0.0133333333333333,6.973333333333334,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0048,1.56,0.0,0.428,1.0,0.5,1.0,0.4,2,4.28,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,68,2,volume_pos4_10
chatgpt yuklash apk,3,65,0.0461538461538461,7.061538461538461,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0376,5.4,0.0,0.414,1.0,0.5,1.0,0.4,2,4.14,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,65,1,volume_pos4_10
chatgpt o'rnatish,1,61,0.0163934426229508,6.491803278688525,chatgpt_download,chatgpt_product,uz,navigational,False,False,False,4-10,7-10,0.0085470085470085,-0.0078,1.92,0.0,0.408,1.0,0.5,1.0,0.4,2,4.08,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,60,2,volume_pos4_10
chatgpt tarjima,3,337,0.0089020771513353,6.480712166172107,chatgpt_translate,chatgpt_product,uz,informational,False,False,False,4-10,7-10,0.0085470085470085,-0.0004,1.04,0.0,0.576,1.0,0.4,0.6,0.4,2,2.76,https://gptbot.uz/uz/gpt-uzbek-tilida/,324,2,volume_pos4_10
