page,week_start,clicks,impressions,position
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-08-31,0,29,6.5
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-09-07,2,39,6.5
https://gptbot.uz/ru/blog/gpt-chat-bot-na-russkom-i-uzbekskom-kak-rabotaet/,2026-09-14,0,7,8.9
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-07-27,1,5,3.2
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-08-03,5,34,3.6
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-08-10,2,27,3.8
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-08-17,11,69,3.3
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-08-24,10,76,3.5
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-08-31,11,96,3.7
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-09-07,12,133,4.4
https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2026-09-14,2,21,3.7
https://gptbot.uz/ru/gpt-chat/,2026-07-06,0,3,11.3
https://gptbot.uz/ru/gpt-chat/,2026-07-13,0,19,6.5
https://gptbot.uz/ru/gpt-chat/,2026-07-20,1,19,6.3
https://gptbot.uz/ru/gpt-chat/,2026-07-27,0,23,6.5
https://gptbot.uz/ru/gpt-chat/,2026-08-03,5,172,6.7
https://gptbot.uz/ru/gpt-chat/,2026-08-10,4,251,6.1
https://gptbot.uz/ru/gpt-chat/,2026-08-17,12,407,5.9
https://gptbot.uz/ru/gpt-chat/,2026-08-24,11,704,5.7
https://gptbot.uz/ru/gpt-chat/,2026-08-31,33,1443,5.1
https://gptbot.uz/ru/gpt-chat/,2026-09-07,55,2436,5.6
https://gptbot.uz/ru/gpt-chat/,2026-09-14,7,563,6.9
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-07-13,0,38,6.6
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-07-20,0,36,8.8
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-07-27,0,67,9.0
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-08-03,0,101,6.2
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-08-10,0,129,6.3
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-08-17,1,141,7.1
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-08-24,0,162,7.1
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-08-31,2,223,6.7
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-09-07,1,270,6.4
https://gptbot.uz/ru/gpt-vs-chatgpt-sravnenie/,2026-09-14,0,70,5.7
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,2026-08-03,0,3,15.8
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,2026-08-10,0,1,6.0
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,2026-08-17,0,21,47.4
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,2026-08-24,0,8,17.9
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,2026-08-31,2,20,11.1
https://gptbot.uz/ru/smm-prodvizhenie-tashkent/,2026-09-07,0,31,13.3
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-07-06,0,7,23.2
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-07-13,0,1,8.0
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-07-27,0,2,4.5
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-08-03,0,10,5.6
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-08-10,0,12,5.8
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-08-17,1,21,4.8
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-08-24,1,18,3.4
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-08-31,2,21,3.9
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-09-07,0,31,5.3
https://gptbot.uz/uz/blog/ai-chat-nima-va-qanday-turlari-bor/,2026-09-14,0,7,5.1
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-07-27,0,2,4.0
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-08-03,0,3,15.0
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-08-10,0,9,10.4
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-08-17,0,162,7.6
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-08-24,4,1470,8.5
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-08-31,3,332,7.9
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-09-07,0,273,8.1
https://gptbot.uz/uz/blog/chatgpt-ozbekistonda-vpnsiz-ishlaydimi/,2026-09-14,0,10,6.9
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-07-27,0,72,8.8
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-08-03,3,666,8.8
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-08-10,15,1597,7.5
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-08-17,19,2240,7.7
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-08-24,48,2873,5.5
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-08-31,96,5133,5.5
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-09-07,155,7742,5.3
https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,2026-09-14,20,1394,5.4
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-07-27,0,2,9.0
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-08-03,2,26,6.0
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-08-10,0,25,7.0
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-08-17,2,40,5.6
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-08-24,5,105,6.5
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-08-31,3,172,6.3
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-09-07,3,150,6.0
https://gptbot.uz/uz/blog/chatgpt-uzbek-tilida-promptlar/,2026-09-14,1,15,5.4
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,2026-08-31,46,10196,6.7
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,2026-09-07,48,14504,7.5
https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,2026-09-14,1,544,8.9
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-07-06,0,1,3.0
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-07-13,1,17,7.9
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-07-20,0,11,8.1
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-07-27,0,2,3.5
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-08-03,3,97,7.7
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-08-10,4,254,6.7
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-08-17,7,576,7.4
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-08-24,24,1829,7.0
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-08-31,34,4820,6.7
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-09-07,48,5598,6.6
https://gptbot.uz/uz/gpt-uzbek-tilida/,2026-09-14,7,1365,6.9
https://gptbot.uz/uz/oquv-markazi-uchun-ai-bot/,2026-06-15,0,1,9.0
https://gptbot.uz/uz/oquv-markazi-uchun-ai-bot/,2026-07-06,0,1,8.0
https://gptbot.uz/uz/oquv-markazi-uchun-ai-bot/,2026-07-27,0,1,34.0
https://gptbot.uz/uz/oquv-markazi-uchun-ai-bot/,2026-08-17,0,1,2.0
https://gptbot.uz/uz/oquv-markazi-uchun-ai-bot/,2026-08-24,1,1,5.0
https://gptbot.uz/uz/oquv-markazi-uchun-ai-bot/,2026-08-31,1,1,1.0
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-06-29,0,1,27.0
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-07-27,0,1,93.0
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-08-10,0,1,3.0
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-08-17,0,3,4.5
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-08-24,0,4,48.0
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-08-31,1,1,4.0
https://gptbot.uz/uz/ozbekiston-boylab-chat-bot/,2026-09-07,1,4,4.5
