query,device,clicks,impressions,ctr,position
chatgpt yuklash apk,MOBILE,3,64,0.046875,7.03125
chatgpt на узбекском,DESKTOP,3,33,0.09090909090909091,4.9393939393939394
чат гпт узбекча,MOBILE,3,146,0.02054794520547945,5.575342465753424
chat gpt uzb,MOBILE,2,45,0.044444444444444446,4.622222222222222
chatgpt bepul,DESKTOP,2,53,0.03773584905660377,6.6415094339622645
chatgpt bepul,MOBILE,2,187,0.0106951871657754,6.197860962566845
chatgpt ochish,DESKTOP,2,139,0.014388489208633094,6.0215827338129495
chatgpt online uzbek tilida,DESKTOP,2,24,0.08333333333333333,6.25
chatgpt ozbekcha,MOBILE,2,209,0.009569377990430622,5.91866028708134
chatgpt oʻzbek tilida,MOBILE,2,100,0.02,6.82
chatgpt oʻzbekcha,MOBILE,2,117,0.017094017094017096,7
chatgpt skachat uzbek tilida,MOBILE,2,125,0.016,7.064
chatgpt uzb,MOBILE,2,102,0.0196078431372549,5.0588235294117645
chatgpt yuklab olish uzbek tilida,TABLET,2,73,0.0273972602739726,5.1506849315068495
чат гпт узбек тилида,MOBILE,2,4,0.5,4.5
bepul chatgpt,MOBILE,1,14,0.07142857142857142,6.642857142857143
chachpti,MOBILE,1,1,1,3
chat gpt 4 uzbekistan,MOBILE,1,78,0.01282051282051282,6.512820512820513
chat gpt uchun prompt,MOBILE,1,12,0.08333333333333333,3.6666666666666665
chat gpt uz,MOBILE,1,52,0.019230769230769232,4.826923076923077
chatgpt bepul versiyasi,DESKTOP,1,3,0.3333333333333333,8
chatgpt bepul versiyasi,MOBILE,1,15,0.06666666666666667,7.8
chatgpt ilovasi,MOBILE,1,44,0.022727272727272728,6.4772727272727275
chatgpt ilovasini yuklab olish,TABLET,1,32,0.03125,6
chatgpt kirish uzbek tilida,TABLET,1,9,0.1111111111111111,6
chatgpt o'rnatish,MOBILE,1,41,0.024390243902439025,5.487804878048781
chatgpt o'zbekcha,DESKTOP,1,45,0.022222222222222223,6.8
chatgpt ochish,TABLET,1,25,0.04,5.72
chatgpt ochish uzbek tilida,MOBILE,1,466,0.002145922746781116,6.160944206008583
chatgpt tarjimon,MOBILE,1,13,0.07692307692307693,7.538461538461538
chatgpt uchun prompt,MOBILE,1,51,0.0196078431372549,6.882352941176471
chatgpt uzbek tilida,MOBILE,1,248,0.004032258064516129,6.596774193548387
chatgpt uzbek tilida gaplashish,TABLET,1,2,0.5,7.5
chatgpt uzbekcha tarjimon,MOBILE,1,53,0.018867924528301886,4.754716981132075
chatgpt yozish,DESKTOP,1,60,0.016666666666666666,9.316666666666666
chatgpt yuklash,MOBILE,1,103,0.009708737864077669,7.271844660194175
chatgpt yuklash uzbek tilida,DESKTOP,1,4,0.25,4
chatgpt скачать uzbek tilida,DESKTOP,1,7,0.14285714285714285,6.428571428571429
chatgpt узбекистан,MOBILE,1,4,0.25,4.25
chatgptga kirish,MOBILE,1,57,0.017543859649122806,3.6140350877192984
chpjt,MOBILE,1,1,1,3
как оплатить чат gpt в узбекистане,DESKTOP,1,9,0.1111111111111111,1.1111111111111112
как поговорить с ии,MOBILE,1,2,0.5,14.5
общение с ии,MOBILE,1,2,0.5,48
прайс смм специалиста,DESKTOP,1,1,1,4
разработка сайтов,DESKTOP,1,37,0.02702702702702703,74.24324324324324
чат гпт узб,DESKTOP,1,7,0.14285714285714285,3.5714285714285716
чат гпт узб,MOBILE,1,19,0.05263157894736842,3.526315789473684
чат джипити узбек тилида,MOBILE,1,41,0.024390243902439025,7.170731707317073
чат жпт узбекча,DESKTOP,1,63,0.015873015873015872,6.809523809523809
чати пити узбекча,MOBILE,1,37,0.02702702702702703,7.054054054054054
"""elama""",DESKTOP,0,1,0,25
1,MOBILE,0,1,0,4
1chatgpt.ru,DESKTOP,0,1,0,9
@cb_survey_a2026_bot,DESKTOP,0,2,0,8
ai manager,DESKTOP,0,3,0,22.666666666666668
ai бот для сайта,DESKTOP,0,10,0,89.4
ai боты для бизнеса,DESKTOP,0,15,0,85.86666666666666
ai консультант для сайта,DESKTOP,0,1,0,18
ai менеджер,DESKTOP,0,17,0,32.82352941176471
ai менеджер,MOBILE,0,2,0,21.5
ai менеджеры,DESKTOP,0,3,0,24.333333333333332
ai обработка заявок,DESKTOP,0,6,0,66.83333333333333
ai продавец,DESKTOP,0,10,0,32.5
ai продавец,MOBILE,0,5,0,26.2
ai11179,DESKTOP,0,3,0,3.3333333333333335
ai60670,DESKTOP,0,1,0,4
ai61845,DESKTOP,0,1,0,5
ai61853,DESKTOP,0,1,0,6
ai62911,DESKTOP,0,1,0,10
ai66925,DESKTOP,0,1,0,10
ai67014,DESKTOP,0,3,0,6.666666666666667
ai67024,DESKTOP,0,3,0,7.666666666666667
ai67039,DESKTOP,0,1,0,6
ai67050,DESKTOP,0,1,0,10
ai67067,DESKTOP,0,2,0,9.5
ai67069,DESKTOP,0,3,0,6
ai67076,DESKTOP,0,2,0,5.5
ai67089,DESKTOP,0,2,0,8
ai67090,DESKTOP,0,1,0,4
ai67109,DESKTOP,0,1,0,10
ai67189,DESKTOP,0,3,0,8.666666666666668
ai67226,DESKTOP,0,1,0,8
ai67256,DESKTOP,0,1,0,4
ai67258,DESKTOP,0,1,0,9
ai67279,DESKTOP,0,1,0,10
ai67506,DESKTOP,0,1,0,8
ai67545,DESKTOP,0,1,0,10
ai67622,DESKTOP,0,1,0,6
ai67623,DESKTOP,0,2,0,5
ai67628,DESKTOP,0,2,0,2.5
ai67864,DESKTOP,0,1,0,8
ai67901,DESKTOP,0,1,0,10
ai67903,DESKTOP,0,2,0,9
ai67905,DESKTOP,0,1,0,9
ai67963,DESKTOP,0,1,0,10
ai67963,MOBILE,0,1,0,10
ai67969,DESKTOP,0,1,0,8
ai67976,DESKTOP,0,1,0,10
ai67990,DESKTOP,0,2,0,9
ai67991,DESKTOP,0,2,0,9
ai67997,DESKTOP,0,2,0,10
ai68339,DESKTOP,0,1,0,6
ai85506,DESKTOP,0,1,0,9
ai97547,DESKTOP,0,1,0,10
al chat что это,DESKTOP,0,1,0,11
al chat что это,MOBILE,0,2,0,10.5
ammocrm,DESKTOP,0,1,0,9
api python telegram,DESKTOP,0,1,0,44
arzon sifatli veb sayt yaratish xizmati,DESKTOP,0,3,0,78
audit digital marketing,DESKTOP,0,1,0,2
bepul sayt yaratish,MOBILE,0,1,0,10
bitrich ai bot,MOBILE,0,1,0,9
boss digital,DESKTOP,0,4,0,10.25
boss digital,MOBILE,0,3,0,4
bot direct instagram,DESKTOP,0,8,0,28
botlar,MOBILE,0,1,0,6
cajgbt,MOBILE,0,1,0,2
cakecity,MOBILE,0,2,0,7
chach gpt,MOBILE,0,4,0,5.25
chachi piti uzb,MOBILE,0,13,0,7.384615384615385
chachi piti uzbek tilida,MOBILE,0,1,0,9
chachipiti online,DESKTOP,0,2,0,6
chachipiti oʻzbek tilida,DESKTOP,0,4,0,9
chachipiti oʻzbek tilida,MOBILE,0,157,0,8.280254777070063
chachipiti yuklash,MOBILE,0,2,0,9
chadgpt на русском,DESKTOP,0,1,0,72
chaji piti,DESKTOP,0,2,0,9
chaji piti,MOBILE,0,3,0,7.333333333333333
chaji piti online,DESKTOP,0,4,0,8
chaji piti online,MOBILE,0,39,0,5.641025641025641
chaji piti uzbek tilida,MOBILE,0,16,0,8.25
chap dpt,MOBILE,0,6,0,8
chap jtp,DESKTOP,0,1,0,4
chat chipiti online,DESKTOP,0,10,0,6.1
chat chipiti online,MOBILE,0,27,0,6.37037037037037
chat gibit,MOBILE,0,4,0,3.5
chat gpt 4 uzbek tilida,MOBILE,0,2,0,10
chat gpt 4 uzbekistan,DESKTOP,0,7,0,6.857142857142857
chat gpt kirish,DESKTOP,0,4,0,8.25
chat gpt kirish,MOBILE,0,38,0,8.078947368421051
chat gpt kirish,TABLET,0,1,0,8
chat gpt kodlari,MOBILE,0,2,0,6.5
chat gpt ozbekcha,MOBILE,0,8,0,3.625
chat gpt oʻrnatish,DESKTOP,0,1,0,8
chat gpt oʻzbekcha,MOBILE,0,8,0,7.625
chat gpt promtlar,MOBILE,0,5,0,2.6
chat gpt uchun prompt,DESKTOP,0,2,0,2
chat gpt uz,DESKTOP,0,52,0,5.461538461538462
chat gpt uzb,DESKTOP,0,6,0,4.166666666666666
chat gpt uzbek,DESKTOP,0,5,0,5
chat gpt uzbek,MOBILE,0,32,0,5.40625
chat gpt uzbek,TABLET,0,5,0,4.6
chat gpt uzbek tilida,DESKTOP,0,3,0,6.666666666666667
chat gpt uzbek tilida,MOBILE,0,58,0,6.275862068965517
chat gpt uzbekcha,DESKTOP,0,19,0,9.789473684210526
chat gpt uzbekcha,TABLET,0,2,0,6
chat gpt yuklab olish,DESKTOP,0,4,0,7.5
chat gpt yuklab olish,MOBILE,0,30,0,7.533333333333333
chat gpt yuklash,DESKTOP,0,38,0,8.210526315789473
chat gpt yuklash,TABLET,0,3,0,6.333333333333333
chat gpt боты телеграм,DESKTOP,0,2,0,58.5
chat gpt на русском,DESKTOP,0,3,0,72
chat gpt на узбекском языке,MOBILE,0,1,0,3
chat gpt по русски,DESKTOP,0,1,0,66
chat gpt расшифровка,DESKTOP,0,1,0,8
chat gpt расшифровка,MOBILE,0,4,0,10
chat ptgt,DESKTOP,0,1,0,6
chat uzbek,MOBILE,0,5,0,5.4
chat на русском,DESKTOP,0,1,0,63
chatbot crm,DESKTOP,0,2,0,24.5
chatbot crm,MOBILE,0,1,0,25
chatbot for crm,DESKTOP,0,1,0,57
chatbot versus chatgpt,DESKTOP,0,1,0,82
chatbot vs gpt,DESKTOP,0,1,0,77
chatga bitta,MOBILE,0,6,0,3.5
chatgpt 4 uzbek tilida,DESKTOP,0,2,0,9.5
chatgpt 4 uzbek tilida,MOBILE,0,110,0,9.10909090909091
chatgpt 4 uzbek tilida skachat,MOBILE,0,4,0,10
chatgpt bepul,TABLET,0,1,0,6
chatgpt bepul kirish,DESKTOP,0,66,0,7.53030303030303
chatgpt bepul kirish,TABLET,0,5,0,8.4
chatgpt bilan gaplashish,DESKTOP,0,1,0,9
chatgpt bilan gaplashish,MOBILE,0,1,0,8
chatgpt biznes,MOBILE,0,2,0,6
chatgpt ga kirish,DESKTOP,0,3,0,8.333333333333332
chatgpt ga kirish,MOBILE,0,118,0,7.97457627118644
chatgpt ga kirish,TABLET,0,1,0,9
chatgpt ga yozish,DESKTOP,0,1,0,10
chatgpt ga yozish,MOBILE,0,7,0,8.285714285714285
chatgpt gaplashish,MOBILE,0,1,0,8
chatgpt ilovasi,DESKTOP,0,2,0,9.5
chatgpt ishlatish,MOBILE,0,1,0,6
chatgpt kirish,TABLET,0,171,0,7.16374269005848
chatgpt kirish login,DESKTOP,0,4,0,7
chatgpt kirish login,TABLET,0,2,0,6.5
chatgpt kirish uzbek tilida,DESKTOP,0,30,0,5.766666666666667
chatgpt o,MOBILE,0,8,0,5.5
chatgpt o rnatish,MOBILE,0,9,0,5.111111111111111
chatgpt o zbekcha tarjimon,MOBILE,0,4,0,7
chatgpt o'rnatish,DESKTOP,0,28,0,7.892857142857143
chatgpt o'zbek tilida,DESKTOP,0,3,0,5
chatgpt o'zbek tilida,MOBILE,0,8,0,8.625
chatgpt o'zbekcha,MOBILE,0,73,0,6.47945205479452
chatgpt o'zbekcha,TABLET,0,1,0,8
chatgpt o'zbekcha tarjimon,DESKTOP,0,1,0,10
chatgpt o'zbekcha tarjimon,MOBILE,0,22,0,9.454545454545455
chatgpt ochish uzbek tilida,DESKTOP,0,9,0,6.555555555555555
chatgpt ochish uzbek tilida,TABLET,0,2,0,6
chatgpt onlayn,MOBILE,0,6,0,4.833333333333334
chatgpt online,MOBILE,0,1,0,3
chatgpt online chat,MOBILE,0,1,0,4
chatgpt online kirish,DESKTOP,0,19,0,5
chatgpt online kirish,MOBILE,0,116,0,5.362068965517241
chatgpt online kirish,TABLET,0,1,0,6
chatgpt online uzbek tilida,MOBILE,0,13,0,6.846153846153846
chatgpt ozbekcha,DESKTOP,0,48,0,6.208333333333333
chatgpt oʻrnatish,DESKTOP,0,2,0,8
chatgpt oʻrnatish,MOBILE,0,19,0,8.631578947368421
chatgpt oʻzbek tilida,DESKTOP,0,7,0,7.714285714285714
chatgpt oʻzbekcha,DESKTOP,0,1,0,7
chatgpt oʻzbekcha tarjimon,MOBILE,0,25,0,6.04
chatgpt plus price uzbekistan,DESKTOP,0,1,0,1
chatgpt promptlari,MOBILE,0,1,0,5
chatgpt savol javob,MOBILE,0,3,0,3.6666666666666665
chatgpt sayt,DESKTOP,0,1,0,10
chatgpt sayt,MOBILE,0,2,0,5.5
chatgpt saytiga kirish,DESKTOP,0,3,0,6
chatgpt saytiga kirish,MOBILE,0,7,0,5.285714285714286
chatgpt skachat qilish,DESKTOP,0,1,0,8
chatgpt skachat qilish,MOBILE,0,36,0,8.722222222222221
chatgpt skachat uzbek tilida,DESKTOP,0,12,0,7.333333333333333
chatgpt tarjima,DESKTOP,0,28,0,7.071428571428571
chatgpt tarjima,TABLET,0,3,0,7.666666666666667
chatgpt tarjimon,DESKTOP,0,4,0,8.5
chatgpt tekin versiyasi,MOBILE,0,1,0,7
chatgpt telegram bot,DESKTOP,0,1,0,10
chatgpt uchun prompt,DESKTOP,0,2,0,5.5
chatgpt uchun prompt,TABLET,0,1,0,6
chatgpt uz,TABLET,0,3,0,7
chatgpt uzb,DESKTOP,0,22,0,4.272727272727273
chatgpt uzb,TABLET,0,1,0,5
chatgpt uzbek,DESKTOP,0,6,0,5.166666666666667
chatgpt uzbek,MOBILE,0,96,0,6.6875
chatgpt uzbek tilida,DESKTOP,0,43,0,7.627906976744186
chatgpt uzbek tilida,TABLET,0,1,0,6
chatgpt uzbek tilida gaplashish,DESKTOP,0,15,0,6.133333333333334
chatgpt uzbek tilida online,DESKTOP,0,7,0,5.857142857142857
chatgpt uzbek tilida online,TABLET,0,3,0,5.333333333333333
chatgpt uzbek tilida online ko rish,DESKTOP,0,1,0,9
chatgpt uzbek tilida online ko rish,MOBILE,0,33,0,7.181818181818182
chatgpt uzbek tilida skachat,DESKTOP,0,11,0,7.545454545454546
chatgpt uzbek tilida skachat,MOBILE,0,89,0,7.685393258426966
chatgpt uzbekcha,DESKTOP,0,142,0,6.105633802816901
chatgpt uzbekcha,TABLET,0,10,0,6.6
chatgpt uzbekcha bepul,DESKTOP,0,30,0,4.733333333333333
chatgpt uzbekcha bepul,TABLET,0,11,0,5.090909090909091
chatgpt uzbekcha online,DESKTOP,0,57,0,5.385964912280702
chatgpt uzbekcha online,TABLET,0,14,0,5
chatgpt uzbekcha tarjimon,DESKTOP,0,1,0,6
chatgpt uzbekcha tarjimon,TABLET,0,3,0,4
chatgpt uzbekcha скачать,DESKTOP,0,12,0,7.75
chatgpt uzbekcha скачать,TABLET,0,2,0,10
chatgpt uzbekistan,DESKTOP,0,22,0,5.545454545454546
chatgpt vs chatgpt,MOBILE,0,1,0,7
chatgpt vs gpt,DESKTOP,0,1,0,1
chatgpt vs gpt,MOBILE,0,2,0,4
chatgpt yo,MOBILE,0,1,0,8
chatgpt yozish,MOBILE,0,181,0,8.745856353591162
chatgpt yozish,TABLET,0,2,0,9.5
chatgpt yuklab olish,TABLET,0,40,0,6.075
chatgpt yuklab olish kompyuter uchun,DESKTOP,0,40,0,7.7
chatgpt yuklab olish kompyuter uchun,MOBILE,0,97,0,7.092783505154639
chatgpt yuklab olish kompyuter uchun,TABLET,0,2,0,7.5
chatgpt yuklash,DESKTOP,0,8,0,9
chatgpt yuklash,TABLET,0,6,0,7.5
chatgpt yuklash apk,TABLET,0,1,0,9
chatgpt yuklash uzbek tilida,MOBILE,0,2,0,5
chatgpt õzbekcha,MOBILE,0,47,0,7.127659574468085
chatgpt õzbekcha,TABLET,0,1,0,7
chatgpt на узбекском,MOBILE,0,48,0,5.145833333333333
chatgpt на узбекском,TABLET,0,1,0,2
chatgpt онлайн,DESKTOP,0,3,0,6.333333333333333
chatgpt онлайн,MOBILE,0,2,0,4
chatgpt оплата,MOBILE,0,1,0,3
chatgpt скачать uzbek tilida,MOBILE,0,67,0,7.044776119402985
chatgpt скачать uzbek tilida,TABLET,0,1,0,6
chatgpt узбек тилида,DESKTOP,0,7,0,7.714285714285714
chatgpt узбек тилида,MOBILE,0,28,0,7.25
chatgpt узбекистан,DESKTOP,0,2,0,5.5
chatgpt узбекча,DESKTOP,0,6,0,6
chatgpt узбекча,MOBILE,0,92,0,6.641304347826087
chatgpt узбекча,TABLET,0,1,0,6
chatgpt.uz,DESKTOP,0,35,0,4.914285714285715
chatgpt.uz,MOBILE,0,46,0,4.6521739130434785
chatgptga,DESKTOP,0,1,0,9
chatgptga,MOBILE,0,21,0,5.904761904761905
chatgptga kirish,DESKTOP,0,6,0,4.166666666666666
chatgptga kirish,TABLET,0,1,0,3
chatgptni,MOBILE,0,15,0,5.066666666666666
chati piti online,MOBILE,0,5,0,8.8
chpt yuklab olish,MOBILE,0,35,0,7.371428571428571
cjattp,MOBILE,0,1,0,5
cjhatg,DESKTOP,0,1,0,6
claude play uz,MOBILE,0,1,0,7
claude uzbekistan,MOBILE,0,1,0,10
click bot telegram,MOBILE,0,4,0,9.25
click ochish humo,MOBILE,0,5,0,8.8
click telegram bot,DESKTOP,0,1,0,10
click telegram bot,MOBILE,0,20,0,7.85
cnat gpt,DESKTOP,0,1,0,8
cnat gpt,MOBILE,0,2,0,6
cpa cpc,DESKTOP,0,1,0,38
cpa cpl,DESKTOP,0,1,0,44
cpa cpl,MOBILE,0,1,0,42
cpa cpl traffic,DESKTOP,0,5,0,95.4
cpc and cpa,DESKTOP,0,1,0,81
cpc and cpl,DESKTOP,0,1,0,29
cpc c3,DESKTOP,0,1,0,77
cpc ccc,DESKTOP,0,1,0,72
cpc cpa cpl cpm cpi cps ecpc ecpm cr ctr,DESKTOP,0,1,0,43
cpc cpl,DESKTOP,0,1,0,60
cpc cpm cpa,DESKTOP,0,1,0,27
cpc cpm meaning,DESKTOP,0,1,0,65
cpc vs cpl,DESKTOP,0,1,0,60
cpc что это такое в рекламе,DESKTOP,0,4,0,84.75
cpl cpc,DESKTOP,0,1,0,52
cpl cpm,DESKTOP,0,1,0,59
cpm ctr cpc cpl cpa,DESKTOP,0,1,0,76
cpm vs cpc vs cpa,DESKTOP,0,2,0,82.5
crm chatbot,DESKTOP,0,5,0,41
crm with chatbot,DESKTOP,0,3,0,41.666666666666664
crm with chatbot,MOBILE,0,2,0,71
ctr cpl,DESKTOP,0,1,0,75
difference between chatgpt and gpt,DESKTOP,0,1,0,33
digital boss,DESKTOP,0,1,0,5
digital marketing ташкент,DESKTOP,0,2,0,64.5
digital агентство,DESKTOP,0,3,0,35
digital маркетинговое агентство,DESKTOP,0,1,0,39
digital стратегия,MOBILE,0,1,0,9
digital услуги,DESKTOP,0,1,0,43
direct nima,MOBILE,0,1,0,9
direct nima degani,MOBILE,0,1,0,9
direct перевод инстаграм,MOBILE,0,3,0,10.666666666666666
"domen nomi *.som bilan tugatilsa, qaysi tashkilot yoki muassasaga tegishli bo’ladi?",DESKTOP,0,3,0,7.666666666666667
google ads and seo,MOBILE,0,1,0,9
gp[t,DESKTOP,0,1,0,8
gpat gpt,MOBILE,0,1,0,10
gpt automation petrixbot,DESKTOP,0,1,0,4
gpt bot,DESKTOP,0,3,0,5.333333333333333
gpt bot,MOBILE,0,12,0,3.9166666666666665
gpt chat на русском,DESKTOP,0,1,0,77
gpt chat на русском,MOBILE,0,1,0,20
gpt chat на русском языке,DESKTOP,0,2,0,73.5
gpt plus бесплатно,DESKTOP,0,1,0,5
gpt vs chatgpt,DESKTOP,0,1,0,6
gpt vs chatgpt,MOBILE,0,1,0,5
gpt для учебы,DESKTOP,0,9,0,28.11111111111111
gpt для учебы,MOBILE,0,2,0,21
gpt на русском,DESKTOP,0,1,0,81
gpt на русском онлайн,DESKTOP,0,1,0,22
gpt написать текст,MOBILE,0,1,0,65
gpt нейросеть онлайн,DESKTOP,0,1,0,82
gpt оплата,MOBILE,0,1,0,2
gpt расшифровка,DESKTOP,0,1,0,14
gpt расшифровка,MOBILE,0,2,0,10
gpt чат онлайн,MOBILE,0,1,0,12
gptbots,DESKTOP,0,1,0,67
gptplanet com отзывы,DESKTOP,0,1,0,27
ii chat,DESKTOP,0,1,0,8
ii chat,MOBILE,0,3,0,8.333333333333332
instachi,MOBILE,0,1,0,2
instagram chi,MOBILE,0,1,0,3
instagram direct nima,DESKTOP,0,1,0,9
instagram direct nima,MOBILE,0,39,0,7.564102564102564
instagramda direct nima,MOBILE,0,23,0,8.173913043478262
instagramda eng ko'p obunachi kimda,DESKTOP,0,1,0,25
instagramda eng ko'p obunachi kimda,MOBILE,0,1,0,29
internet reklama,DESKTOP,0,1,0,18
jaji piti,MOBILE,0,5,0,4.2
jaji piti bot,DESKTOP,0,3,0,6.333333333333333
jaji piti bot,MOBILE,0,17,0,5.647058823529412
jaji piti online,DESKTOP,0,23,0,7.043478260869565
jaji piti online,TABLET,0,1,0,6
jajipiti,MOBILE,0,1,0,10
jatgbt,DESKTOP,0,1,0,4
jatgbt,MOBILE,0,1,0,5
jipi chat,MOBILE,0,1,0,11
jtp чат,DESKTOP,0,7,0,6.285714285714286
jtp чат,MOBILE,0,5,0,5.8
ko‘chmas mulk,DESKTOP,0,1,0,10
lchat hpt,MOBILE,0,1,0,4
lead что это,MOBILE,0,1,0,81
lid это,DESKTOP,0,3,0,11
lid это,MOBILE,0,1,0,10
marketing,DESKTOP,0,4,0,45.25
marketing,MOBILE,0,2,0,43
marketing haqida,DESKTOP,0,1,0,55
marketing kit,MOBILE,0,2,0,29
marketing nima,DESKTOP,0,5,0,17.4
marketing nima,MOBILE,0,1,0,21
marketing nima uchun kerak,MOBILE,0,1,0,10
marketing nma,MOBILE,0,1,0,10
mini app,DESKTOP,0,2,0,79.5
nachat gpt,DESKTOP,0,1,0,8
o'zbekistonda biznes uchun ai bot,DESKTOP,0,5,0,3.6
o'zbekistonda biznes uchun ai bot,MOBILE,0,39,0,25.41025641025641
oddiy so'rov uzbek tilida,DESKTOP,0,7,0,11.285714285714286
oddiy so'rov uzbek tilida,MOBILE,0,4,0,11
onlayn chatgpt,DESKTOP,0,16,0,5.4375
onlayn chatgpt,MOBILE,0,69,0,6.304347826086956
onlayn chatgpt,TABLET,0,2,0,5
online,MOBILE,0,1,0,4
online chatgpt,MOBILE,0,1,0,6
open ai это,MOBILE,0,1,0,3
o‘zbekiston ko‘chmas mulk agentliklari,DESKTOP,0,1,0,1
o‘zbekiston uy-joy bozori,DESKTOP,0,1,0,9
payme click,MOBILE,0,4,0,9.5
payme telegram,MOBILE,0,3,0,9.333333333333334
payme telegram bot,DESKTOP,0,2,0,22.5
payme telegram bot,MOBILE,0,14,0,9.285714285714286
performance marketing,MOBILE,0,1,0,9
python bot telegram,DESKTOP,0,2,0,47.5
python telegram bot,DESKTOP,0,4,0,44
python telegram bot,MOBILE,0,3,0,34.333333333333336
python telegram bot api,DESKTOP,0,1,0,46
python telegram bot примеры,DESKTOP,0,1,0,47
python tg bot,DESKTOP,0,1,0,48
python-telegram-bot,DESKTOP,0,1,0,44
qayerdan yuklab olsam buladi,MOBILE,0,1,0,3
razrabotka,DESKTOP,0,1,0,25
salon bot,MOBILE,0,1,0,6
savdoni avtomatlashtirish,DESKTOP,0,2,0,18.5
savollarga javoblar beruvchi bot,MOBILE,0,26,0,8.346153846153847
sayt ochish,DESKTOP,0,1,0,38
sayt tayyorlash,DESKTOP,0,2,0,68
sayt tayyorlash xizmati,DESKTOP,0,1,0,30
sayt tuzish,DESKTOP,0,1,0,29
sayt yaratish,DESKTOP,0,9,0,57.22222222222222
sayt yaratish,MOBILE,0,2,0,29.5
sayt yaratish narxi,DESKTOP,0,1,0,16
sayt yaratish xizmati,DESKTOP,0,10,0,73.1
sayt yaratish xizmati,MOBILE,0,3,0,69
seo smm продвижение,DESKTOP,0,1,0,7
seo xizmati,DESKTOP,0,2,0,14.5
seo xizmati,MOBILE,0,1,0,34
seo аудит пример,DESKTOP,0,4,0,92.25
seo аудит сайта,DESKTOP,0,1,0,85
seo аудит сайта пример,DESKTOP,0,2,0,80
seo аудит сайта цена,DESKTOP,0,1,0,14
seo аудит сайта чек лист,DESKTOP,0,12,0,85.58333333333333
seo аудит чек лист,DESKTOP,0,11,0,84.54545454545455
seo в ташкенте,DESKTOP,0,22,0,45.63636363636363
seo данные это,DESKTOP,0,2,0,84.5
seo компания,DESKTOP,0,1,0,15
seo оптимизация в ташкенте,DESKTOP,0,1,0,47
seo оптимизация сайта стоимость,DESKTOP,0,3,0,18.333333333333332
seo оптимизация сайтов в ташкенте,DESKTOP,0,4,0,76.5
seo оптимизация ташкент,DESKTOP,0,1,0,44
seo оптимизация ташкент,MOBILE,0,1,0,52
seo поисковое продвижение,DESKTOP,0,4,0,77.75
seo поисковое продвижение,MOBILE,0,3,0,82
seo продвижение,DESKTOP,0,202,0,62.29207920792079
seo продвижение,MOBILE,0,61,0,60.91803278688525
seo продвижение seo маркетинг,DESKTOP,0,1,0,11
seo продвижение в поиске,DESKTOP,0,4,0,66.5
seo продвижение в поиске,MOBILE,0,6,0,72.33333333333333
seo продвижение в сети,DESKTOP,0,1,0,10
seo продвижение в ташкенте,DESKTOP,0,1,0,44
seo продвижение в ташкенте,MOBILE,0,1,0,74
seo продвижение выгодная цена,DESKTOP,0,1,0,18
seo продвижение запросы,DESKTOP,0,3,0,26.333333333333332
seo продвижение интернет магазина цена,DESKTOP,0,1,0,7
