query,country,clicks,impressions,ctr,position
chatgpt uzb,uzb,2,116,0.017241379310344827,4.887931034482758
chatgpt uzbekcha online,rus,2,28,0.07142857142857142,4.25
chatgpt uzbekcha скачать,uzb,2,290,0.006896551724137931,8.741379310344827
chatgpt uzbekistan,uzb,2,159,0.012578616352201259,4.9245283018867925
chatgpt yuklab olish,deu,2,4,0.5,8.75
chatgpt yuklab olish uzbek tilida,hkg,2,4,0.5,5
chatgpt yuklab olish uzbek tilida,kaz,2,18,0.1111111111111111,6.277777777777778
chatgpt yuklash apk,uzb,2,61,0.03278688524590164,6.901639344262295
chatgpt на узбекском,uzb,2,62,0.03225806451612903,5.419354838709677
чат гпт узбек тилида,rus,2,2,1,4
bepul chatgpt,uzb,1,13,0.07692307692307693,6.615384615384615
chachpti,uzb,1,1,1,3
chat gpt 4 uzbekistan,uzb,1,85,0.011764705882352941,6.541176470588235
chat gpt uchun prompt,uzb,1,12,0.08333333333333333,2.833333333333333
chat gpt uz,rus,1,5,0.2,4.4
chat gpt uzbekcha,tjk,1,4,0.25,5.25
chatgpt ilovasi,uzb,1,41,0.024390243902439025,6.463414634146342
chatgpt ilovasini yuklab olish,tkm,1,1,1,11
chatgpt kirish,kor,1,66,0.015151515151515152,7.136363636363637
chatgpt kirish,tjk,1,31,0.03225806451612903,6.774193548387097
chatgpt kirish,twn,1,4,0.25,9
chatgpt kirish login,hrv,1,1,1,2
chatgpt o'rnatish,uzb,1,60,0.016666666666666666,6.683333333333334
chatgpt o'zbekcha,uzb,1,114,0.008771929824561403,6.578947368421052
chatgpt ochish,tjk,1,20,0.05,5.25
chatgpt ochish uzbek tilida,uzb,1,471,0.0021231422505307855,6.16135881104034
chatgpt ozbekcha,tur,1,7,0.14285714285714285,6.285714285714286
chatgpt ozbekcha,uzb,1,243,0.00411522633744856,5.938271604938271
chatgpt tarjimon,uzb,1,16,0.0625,7.625
chatgpt uchun prompt,rus,1,2,0.5,5
chatgpt uzbek tilida,uzb,1,284,0.0035211267605633804,6.644366197183099
chatgpt uzbekcha,chn,1,1,1,2
chatgpt uzbekcha,tkm,1,2,0.5,4.5
chatgpt uzbekcha online,usa,1,1,1,1
chatgpt uzbekcha tarjimon,uzb,1,57,0.017543859649122806,4.7368421052631575
chatgpt uzbekcha скачать,rus,1,7,0.14285714285714285,9.142857142857142
chatgpt uzbekistan,rus,1,6,0.16666666666666666,3
chatgpt uzbekistan,tur,1,1,1,3
chatgpt yozish,uzb,1,242,0.004132231404958678,8.896694214876032
chatgpt yuklab olish,tur,1,1,1,5
chatgpt yuklab olish uzbek tilida,blr,1,3,0.3333333333333333,5.333333333333333
chatgpt yuklab olish uzbek tilida,deu,1,3,0.3333333333333333,4.333333333333334
chatgpt yuklab olish uzbek tilida,isr,1,4,0.25,3.5
chatgpt yuklab olish uzbek tilida,tkm,1,6,0.16666666666666666,6
chatgpt yuklab olish uzbek tilida,tur,1,32,0.03125,5.40625
chatgpt yuklash,uzb,1,112,0.008928571428571428,7.383928571428571
chatgpt yuklash apk,rus,1,4,0.25,9.5
chatgpt yuklash uzbek tilida,uzb,1,5,0.2,4.2
chatgpt на узбекском,kgz,1,10,0.1,2.8
chatgpt скачать uzbek tilida,uzb,1,66,0.015151515151515152,6.7727272727272725
chatgpt узбекистан,esp,1,1,1,8
chatgptga kirish,uzb,1,63,0.015873015873015872,3.6507936507936507
chpjt,uzb,1,1,1,3
jaji piti online,tjk,1,1,1,7
как оплатить чат gpt в узбекистане,rus,1,1,1,3
как поговорить с ии,ukr,1,2,0.5,14.5
общение с ии,uzb,1,1,1,11
прайс смм специалиста,uzb,1,1,1,4
разработка сайтов,uzb,1,46,0.021739130434782608,75.1304347826087
чат гпт узб,kgz,1,2,0.5,1.5
чат гпт узб,uzb,1,24,0.041666666666666664,3.7083333333333335
чат джипити узбек тилида,rus,1,2,0.5,5
чат джипити узбекча,kgz,1,3,0.3333333333333333,3.6666666666666665
чат жпт узбекча,tjk,1,2,0.5,6
чати пити узбекча,irn,1,1,1,5
"""elama""",usa,0,1,0,25
1,rus,0,1,0,4
1chatgpt.ru,uzb,0,1,0,9
@cb_survey_a2026_bot,uzb,0,2,0,8
ai manager,ukr,0,3,0,22.666666666666668
ai бот для сайта,rus,0,10,0,89.4
ai боты для бизнеса,rus,0,15,0,85.86666666666666
ai консультант для сайта,kaz,0,1,0,18
ai менеджер,bgr,0,1,0,9
ai менеджер,pol,0,1,0,1
ai менеджер,rus,0,14,0,40.5
ai менеджер,ukr,0,1,0,11
ai менеджер,uzb,0,2,0,6.5
ai менеджеры,rus,0,3,0,24.333333333333332
ai обработка заявок,rus,0,3,0,80
ai обработка заявок,ukr,0,3,0,53.666666666666664
ai продавец,rus,0,2,0,21.5
ai продавец,ukr,0,13,0,31.76923076923077
ai11179,uzb,0,3,0,3.3333333333333335
ai60670,uzb,0,1,0,4
ai61845,uzb,0,1,0,5
ai61853,uzb,0,1,0,6
ai62911,uzb,0,1,0,10
ai66925,uzb,0,1,0,10
ai67014,uzb,0,3,0,6.666666666666667
ai67024,uzb,0,3,0,7.666666666666667
ai67039,uzb,0,1,0,6
ai67050,uzb,0,1,0,10
ai67067,uzb,0,2,0,9.5
ai67069,uzb,0,3,0,6
ai67076,uzb,0,2,0,5.5
ai67089,uzb,0,2,0,8
ai67090,uzb,0,1,0,4
ai67109,uzb,0,1,0,10
ai67189,uzb,0,3,0,8.666666666666668
ai67226,uzb,0,1,0,8
ai67256,uzb,0,1,0,4
ai67258,uzb,0,1,0,9
ai67279,uzb,0,1,0,10
ai67506,uzb,0,1,0,8
ai67545,uzb,0,1,0,10
ai67622,uzb,0,1,0,6
ai67623,uzb,0,2,0,5
ai67628,uzb,0,2,0,2.5
ai67864,uzb,0,1,0,8
ai67901,uzb,0,1,0,10
ai67903,uzb,0,2,0,9
ai67905,uzb,0,1,0,9
ai67963,uzb,0,2,0,10
ai67969,uzb,0,1,0,8
ai67976,uzb,0,1,0,10
ai67990,uzb,0,2,0,9
ai67991,uzb,0,2,0,9
ai67997,uzb,0,2,0,10
ai68339,uzb,0,1,0,6
ai85506,uzb,0,1,0,9
ai97547,uzb,0,1,0,10
al chat что это,blr,0,1,0,11
al chat что это,uzb,0,2,0,10.5
ammocrm,uzb,0,1,0,9
api python telegram,rus,0,1,0,44
arzon sifatli veb sayt yaratish xizmati,uzb,0,3,0,78
audit digital marketing,rus,0,1,0,2
bepul chatgpt,kgz,0,1,0,7
bepul sayt yaratish,uzb,0,1,0,10
bitrich ai bot,kaz,0,1,0,9
boss digital,uzb,0,7,0,7.571428571428571
bot direct instagram,rus,0,8,0,28
botlar,uzb,0,1,0,6
cajgbt,uzb,0,1,0,2
cakecity,kaz,0,1,0,10
cakecity,tjk,0,1,0,4
chach gpt,uzb,0,4,0,5.25
chachi piti uzb,rus,0,2,0,3
chachi piti uzb,uzb,0,11,0,8.181818181818182
chachi piti uzbek tilida,uzb,0,1,0,9
chachipiti online,uzb,0,2,0,6
chachipiti oʻzbek tilida,uzb,0,161,0,8.298136645962732
chachipiti yuklash,uzb,0,2,0,9
chadgpt на русском,rus,0,1,0,72
chaji piti,uzb,0,5,0,8
chaji piti online,uzb,0,43,0,5.8604651162790695
chaji piti uzbek tilida,rus,0,2,0,8
chaji piti uzbek tilida,uzb,0,14,0,8.285714285714285
chap dpt,uzb,0,6,0,8
chap jtp,uzb,0,1,0,4
chat chipiti online,uzb,0,37,0,6.297297297297297
chat gibit,uzb,0,4,0,3.5
chat gpt 4 uzbek tilida,uzb,0,2,0,10
chat gpt kirish,rus,0,1,0,5
chat gpt kirish,uzb,0,42,0,8.166666666666668
chat gpt kodlari,uzb,0,2,0,6.5
chat gpt ozbekcha,usa,0,1,0,5
chat gpt ozbekcha,uzb,0,7,0,3.4285714285714284
chat gpt oʻrnatish,uzb,0,1,0,8
chat gpt oʻzbekcha,uzb,0,8,0,7.625
chat gpt promtlar,uzb,0,5,0,2.6
chat gpt uchun prompt,kgz,0,2,0,7
chat gpt uz,uzb,0,99,0,5.181818181818182
chat gpt uzb,kaz,0,7,0,3.857142857142857
chat gpt uzbek,uzb,0,42,0,5.261904761904762
chat gpt uzbek tilida,rus,0,1,0,5
chat gpt uzbek tilida,uzb,0,60,0,6.316666666666666
chat gpt uzbekcha,deu,0,1,0,5
chat gpt uzbekcha,hkg,0,1,0,4
chat gpt uzbekcha,kgz,0,3,0,5.333333333333333
chat gpt uzbekcha,tur,0,2,0,47
chat gpt uzbekcha,uzb,0,143,0,5.8671328671328675
chat gpt yuklab olish,rus,0,4,0,7.5
chat gpt yuklab olish,tur,0,1,0,9
chat gpt yuklab olish,uzb,0,29,0,7.482758620689655
chat gpt yuklash,kaz,0,1,0,7
chat gpt yuklash,kgz,0,1,0,7
chat gpt yuklash,tjk,0,3,0,7.666666666666667
chat gpt боты телеграм,rus,0,2,0,58.5
chat gpt на русском,nld,0,1,0,63
chat gpt на русском,rus,0,1,0,78
chat gpt на русском,uzb,0,1,0,75
chat gpt на узбекском языке,uzb,0,1,0,3
chat gpt по русски,isr,0,1,0,66
chat gpt расшифровка,hun,0,1,0,11
chat gpt расшифровка,uzb,0,4,0,9.25
chat ptgt,uzb,0,1,0,6
chat uzbek,uzb,0,5,0,5.4
chat на русском,rus,0,1,0,63
chatbot crm,ukr,0,3,0,24.666666666666668
chatbot for crm,rus,0,1,0,57
chatbot versus chatgpt,ukr,0,1,0,82
chatbot vs gpt,ukr,0,1,0,77
chatga bitta,uzb,0,6,0,3.5
chatgpt 4 uzbek tilida,kaz,0,1,0,10
chatgpt 4 uzbek tilida,rus,0,9,0,8.666666666666668
chatgpt 4 uzbek tilida,uzb,0,102,0,9.147058823529411
chatgpt 4 uzbek tilida skachat,uzb,0,4,0,10
chatgpt bepul kirish,blr,0,2,0,5
chatgpt bepul kirish,deu,0,3,0,7.666666666666667
chatgpt bepul kirish,hrv,0,1,0,9
chatgpt bepul kirish,kgz,0,1,0,7
chatgpt bepul kirish,kor,0,5,0,8
chatgpt bepul kirish,rus,0,158,0,7.651898734177215
chatgpt bepul kirish,tur,0,6,0,7
chatgpt bepul versiyasi,rus,0,2,0,7.5
chatgpt bilan gaplashish,uzb,0,2,0,8.5
chatgpt biznes,uzb,0,2,0,6
chatgpt ga kirish,kgz,0,4,0,7.75
chatgpt ga kirish,uzb,0,118,0,8
chatgpt ga yozish,kaz,0,2,0,9.5
chatgpt ga yozish,rus,0,1,0,1
chatgpt ga yozish,uzb,0,5,0,9.6
chatgpt gaplashish,uzb,0,1,0,8
chatgpt ilovasi,rus,0,5,0,7.8
chatgpt ilovasini yuklab olish,aze,0,3,0,10
chatgpt ilovasini yuklab olish,bgr,0,3,0,9
chatgpt ilovasini yuklab olish,blr,0,2,0,5
chatgpt ilovasini yuklab olish,can,0,1,0,7
chatgpt ilovasini yuklab olish,deu,0,1,0,7
chatgpt ilovasini yuklab olish,gbr,0,3,0,7.666666666666667
chatgpt ilovasini yuklab olish,hkg,0,1,0,7
chatgpt ilovasini yuklab olish,hrv,0,1,0,7
chatgpt ilovasini yuklab olish,isr,0,1,0,6
chatgpt ilovasini yuklab olish,jor,0,1,0,6
chatgpt ilovasini yuklab olish,jpn,0,1,0,9
chatgpt ilovasini yuklab olish,kaz,0,8,0,7.25
chatgpt ilovasini yuklab olish,kgz,0,2,0,6.5
chatgpt ilovasini yuklab olish,sau,0,1,0,6
chatgpt ilovasini yuklab olish,swe,0,1,0,3
chatgpt ilovasini yuklab olish,tjk,0,15,0,7.4
chatgpt ilovasini yuklab olish,ukr,0,1,0,8
chatgpt ilovasini yuklab olish,usa,0,1,0,6
chatgpt ilovasini yuklab olish,zzz,0,1,0,8
chatgpt ishlatish,rus,0,1,0,6
chatgpt kirish,are,0,1,0,5
chatgpt kirish,aze,0,2,0,8
chatgpt kirish,blr,0,4,0,7
chatgpt kirish,can,0,1,0,11
chatgpt kirish,chn,0,1,0,7
chatgpt kirish,cze,0,1,0,8
chatgpt kirish,deu,0,7,0,7.142857142857143
chatgpt kirish,fra,0,4,0,9.75
chatgpt kirish,hkg,0,4,0,5.5
chatgpt kirish,idn,0,1,0,6
chatgpt kirish,ind,0,1,0,10
chatgpt kirish,irn,0,5,0,6.8
chatgpt kirish,isr,0,4,0,6.75
chatgpt kirish,jpn,0,8,0,6.75
chatgpt kirish,kaz,0,29,0,7.482758620689655
chatgpt kirish,kgz,0,38,0,8.131578947368421
chatgpt kirish,ltu,0,1,0,10
chatgpt kirish,nld,0,5,0,6.4
chatgpt kirish,pol,0,1,0,9
chatgpt kirish,qat,0,1,0,11
chatgpt kirish,sau,0,8,0,7.625
chatgpt kirish,svk,0,1,0,5
chatgpt kirish,swe,0,2,0,8.5
chatgpt kirish,syr,0,1,0,7
chatgpt kirish,tkm,0,8,0,5.75
chatgpt kirish,tur,0,37,0,8.378378378378379
chatgpt kirish,uga,0,1,0,8
chatgpt kirish,usa,0,1,0,4
chatgpt kirish,vnm,0,1,0,10
chatgpt kirish login,rus,0,6,0,8.166666666666668
chatgpt kirish login,tjk,0,1,0,7
chatgpt kirish uzbek tilida,blr,0,1,0,6
chatgpt kirish uzbek tilida,fra,0,1,0,7
chatgpt kirish uzbek tilida,hkg,0,1,0,5
chatgpt kirish uzbek tilida,hrv,0,1,0,8
chatgpt kirish uzbek tilida,kaz,0,3,0,5.666666666666667
chatgpt kirish uzbek tilida,kgz,0,3,0,6.666666666666667
chatgpt kirish uzbek tilida,kor,0,1,0,5
chatgpt kirish uzbek tilida,ltu,0,2,0,8
chatgpt kirish uzbek tilida,nld,0,1,0,6
chatgpt kirish uzbek tilida,rus,0,54,0,6
chatgpt kirish uzbek tilida,tjk,0,6,0,7.666666666666667
chatgpt kirish uzbek tilida,tur,0,7,0,5.714285714285714
chatgpt kirish uzbek tilida,usa,0,4,0,7.5
chatgpt o,uzb,0,8,0,5.5
chatgpt o rnatish,uzb,0,9,0,5.111111111111111
chatgpt o zbekcha tarjimon,uzb,0,4,0,7
chatgpt o'rnatish,rus,0,9,0,5
chatgpt o'zbek tilida,kgz,0,1,0,9
chatgpt o'zbek tilida,rus,0,1,0,10
chatgpt o'zbek tilida,uzb,0,9,0,7.222222222222222
chatgpt o'zbekcha,rus,0,5,0,7.4
chatgpt o'zbekcha tarjimon,uzb,0,23,0,9.478260869565217
chatgpt ochish,blr,0,1,0,6
chatgpt ochish,deu,0,1,0,5
chatgpt ochish,geo,0,1,0,8
chatgpt ochish,hkg,0,1,0,6
chatgpt ochish,isr,0,3,0,5
chatgpt ochish,kaz,0,3,0,8.333333333333332
chatgpt ochish,kgz,0,5,0,5.6
chatgpt ochish,kor,0,2,0,6
chatgpt ochish,nld,0,2,0,6.5
chatgpt ochish,qat,0,1,0,7
chatgpt ochish,tkm,0,2,0,7.5
chatgpt ochish,tur,0,5,0,6.8
chatgpt ochish,usa,0,1,0,8
chatgpt ochish uzbek tilida,rus,0,5,0,6.8
chatgpt ochish uzbek tilida,tjk,0,1,0,6
chatgpt onlayn,uzb,0,6,0,4.833333333333334
chatgpt online,uzb,0,1,0,3
chatgpt online chat,uzb,0,1,0,4
chatgpt online kirish,kaz,0,2,0,5
chatgpt online kirish,kgz,0,1,0,4
chatgpt online kirish,rus,0,3,0,8.666666666666668
chatgpt online kirish,uzb,0,130,0,5.253846153846154
chatgpt online uzbek tilida,rus,0,1,0,10
chatgpt ozbekcha,gbr,0,2,0,5
chatgpt ozbekcha,kaz,0,2,0,6
chatgpt ozbekcha,rus,0,2,0,9.5
chatgpt ozbekcha,tkm,0,1,0,7
chatgpt oʻrnatish,uzb,0,21,0,8.571428571428571
chatgpt oʻzbekcha,tjk,0,1,0,6
chatgpt oʻzbekcha tarjimon,rus,0,1,0,2
chatgpt oʻzbekcha tarjimon,uzb,0,24,0,6.208333333333333
chatgpt plus price uzbekistan,uzb,0,1,0,1
chatgpt promptlari,uzb,0,1,0,5
chatgpt savol javob,rus,0,1,0,9
chatgpt savol javob,uzb,0,2,0,1
chatgpt sayt,uzb,0,3,0,7
chatgpt saytiga kirish,rus,0,2,0,5
chatgpt saytiga kirish,uzb,0,8,0,5.625
chatgpt skachat qilish,kgz,0,1,0,8
chatgpt skachat qilish,uzb,0,36,0,8.722222222222221
chatgpt skachat uzbek tilida,deu,0,1,0,9
chatgpt skachat uzbek tilida,fra,0,1,0,10
chatgpt skachat uzbek tilida,irn,0,1,0,3
chatgpt skachat uzbek tilida,rus,0,26,0,6.038461538461538
chatgpt tarjima,egy,0,1,0,10
chatgpt tarjima,kgz,0,1,0,9
chatgpt tarjima,rus,0,2,0,6.5
chatgpt tarjima,tur,0,1,0,5
chatgpt tarjimon,rus,0,1,0,10
chatgpt tekin versiyasi,uzb,0,1,0,7
chatgpt telegram bot,phl,0,1,0,10
chatgpt uchun prompt,uzb,0,52,0,6.884615384615385
chatgpt uz,kgz,0,1,0,4
chatgpt uz,nld,0,1,0,2
chatgpt uz,swe,0,1,0,4
chatgpt uz,tjk,0,3,0,6.333333333333333
chatgpt uzb,are,0,1,0,7
chatgpt uzb,kgz,0,2,0,3
chatgpt uzb,rus,0,4,0,5
chatgpt uzb,sau,0,1,0,9
chatgpt uzb,tur,0,1,0,6
chatgpt uzbek,rus,0,2,0,4
chatgpt uzbek,tjk,0,1,0,4
chatgpt uzbek,tur,0,1,0,3
chatgpt uzbek,uzb,0,98,0,6.714285714285714
chatgpt uzbek tilida,kgz,0,1,0,7
chatgpt uzbek tilida,rus,0,5,0,12.6
chatgpt uzbek tilida,tur,0,2,0,6.5
chatgpt uzbek tilida gaplashish,kaz,0,1,0,6
chatgpt uzbek tilida gaplashish,rus,0,3,0,6
chatgpt uzbek tilida online,chn,0,1,0,6
chatgpt uzbek tilida online,kaz,0,1,0,6
chatgpt uzbek tilida online,rus,0,12,0,5.166666666666667
chatgpt uzbek tilida online ko rish,uzb,0,34,0,7.235294117647059
chatgpt uzbek tilida skachat,rus,0,3,0,8.666666666666668
chatgpt uzbek tilida skachat,tjk,0,1,0,7
chatgpt uzbek tilida skachat,tur,0,1,0,6
chatgpt uzbek tilida skachat,uzb,0,95,0,7.663157894736842
chatgpt uzbekcha,are,0,1,0,10
chatgpt uzbekcha,hkg,0,2,0,8
chatgpt uzbekcha,isr,0,1,0,6
chatgpt uzbekcha,kaz,0,7,0,5.285714285714286
chatgpt uzbekcha,kgz,0,4,0,3.25
chatgpt uzbekcha,rus,0,16,0,6.0625
chatgpt uzbekcha,tjk,0,6,0,6.333333333333333
chatgpt uzbekcha bepul,gin,0,1,0,3
chatgpt uzbekcha bepul,kaz,0,1,0,6
chatgpt uzbekcha bepul,kgz,0,1,0,5
chatgpt uzbekcha bepul,rus,0,25,0,5.04
chatgpt uzbekcha bepul,tjk,0,1,0,5
chatgpt uzbekcha bepul,tur,0,1,0,5
chatgpt uzbekcha bepul,usa,0,2,0,7
chatgpt uzbekcha online,are,0,1,0,5
chatgpt uzbekcha online,aze,0,1,0,4
chatgpt uzbekcha online,blr,0,3,0,4.666666666666666
chatgpt uzbekcha online,cmr,0,1,0,8
chatgpt uzbekcha online,geo,0,1,0,4
chatgpt uzbekcha online,irn,0,3,0,4
chatgpt uzbekcha online,jor,0,1,0,4
chatgpt uzbekcha online,kaz,0,7,0,4
chatgpt uzbekcha online,kgz,0,12,0,4.583333333333334
chatgpt uzbekcha online,tjk,0,6,0,8.5
chatgpt uzbekcha online,tur,0,3,0,4.666666666666666
chatgpt uzbekcha online,ukr,0,1,0,2
chatgpt uzbekcha скачать,arm,0,1,0,8
chatgpt uzbekcha скачать,est,0,1,0,4
chatgpt uzbekcha скачать,kaz,0,1,0,4
chatgpt uzbekcha скачать,kgz,0,1,0,7
chatgpt uzbekcha скачать,tjk,0,25,0,7.6
chatgpt uzbekcha скачать,tkm,0,1,0,10
chatgpt uzbekistan,deu,0,2,0,4
chatgpt uzbekistan,kaz,0,1,0,5
chatgpt vs chatgpt,ukr,0,1,0,7
chatgpt vs gpt,rus,0,3,0,3
chatgpt yo,uzb,0,1,0,8
chatgpt yozish,rus,0,1,0,8
chatgpt yuklab olish,bel,0,1,0,10
chatgpt yuklab olish,blr,0,1,0,11
chatgpt yuklab olish,can,0,1,0,9
chatgpt yuklab olish,cyp,0,1,0,8
chatgpt yuklab olish,fra,0,2,0,9.5
chatgpt yuklab olish,gbr,0,5,0,8.4
chatgpt yuklab olish,hkg,0,11,0,7.363636363636363
chatgpt yuklab olish,hrv,0,2,0,6
chatgpt yuklab olish,irn,0,4,0,6.5
chatgpt yuklab olish,isr,0,3,0,5.666666666666667
chatgpt yuklab olish,kaz,0,5,0,6.6
chatgpt yuklab olish,kgz,0,17,0,7.705882352941177
chatgpt yuklab olish,kor,0,2,0,5.5
chatgpt yuklab olish,nld,0,5,0,8.8
chatgpt yuklab olish,phl,0,1,0,5
chatgpt yuklab olish,pol,0,2,0,5.5
chatgpt yuklab olish,rou,0,1,0,5
chatgpt yuklab olish,tjk,0,21,0,6.9523809523809526
chatgpt yuklab olish,tkm,0,3,0,5
chatgpt yuklab olish,ukr,0,1,0,5
chatgpt yuklab olish,usa,0,5,0,7.8
chatgpt yuklab olish kompyuter uchun,kor,0,1,0,6
chatgpt yuklab olish kompyuter uchun,rus,0,6,0,7.666666666666667
chatgpt yuklab olish kompyuter uchun,syr,0,1,0,6
chatgpt yuklab olish kompyuter uchun,tjk,0,1,0,10
chatgpt yuklab olish kompyuter uchun,uzb,0,130,0,7.253846153846154
chatgpt yuklab olish uzbek tilida,afg,0,1,0,4
chatgpt yuklab olish uzbek tilida,aze,0,1,0,5
chatgpt yuklab olish uzbek tilida,cze,0,1,0,3
chatgpt yuklab olish uzbek tilida,egy,0,2,0,6.5
chatgpt yuklab olish uzbek tilida,esp,0,2,0,2.5
chatgpt yuklab olish uzbek tilida,fra,0,2,0,6
chatgpt yuklab olish uzbek tilida,geo,0,1,0,6
chatgpt yuklab olish uzbek tilida,irn,0,3,0,4.666666666666666
chatgpt yuklab olish uzbek tilida,jor,0,2,0,4
chatgpt yuklab olish uzbek tilida,kgz,0,31,0,4.806451612903226
chatgpt yuklab olish uzbek tilida,kor,0,4,0,4.25
chatgpt yuklab olish uzbek tilida,lva,0,2,0,9
chatgpt yuklab olish uzbek tilida,nld,0,6,0,5.666666666666667
chatgpt yuklab olish uzbek tilida,pol,0,4,0,8
chatgpt yuklab olish uzbek tilida,prt,0,1,0,3
chatgpt yuklab olish uzbek tilida,sau,0,9,0,3.888888888888889
chatgpt yuklab olish uzbek tilida,sgp,0,1,0,8
chatgpt yuklab olish uzbek tilida,swe,0,12,0,4.583333333333334
chatgpt yuklab olish uzbek tilida,syr,0,3,0,5.666666666666667
chatgpt yuklab olish uzbek tilida,tjk,0,29,0,6.275862068965517
chatgpt yuklab olish uzbek tilida,ukr,0,3,0,4.333333333333334
chatgpt yuklab olish uzbek tilida,usa,0,2,0,5
chatgpt yuklab olish uzbek tilida,zzz,0,2,0,4
chatgpt yuklash,irn,0,1,0,10
chatgpt yuklash,rus,0,4,0,7.25
chatgpt yuklash uzbek tilida,tur,0,1,0,5
chatgpt õzbekcha,uzb,0,48,0,7.125
chatgpt на узбекском,are,0,1,0,9
chatgpt на узбекском,kaz,0,1,0,6
chatgpt на узбекском,kor,0,3,0,5.333333333333333
chatgpt на узбекском,rus,0,2,0,4
chatgpt на узбекском,swe,0,1,0,4
chatgpt на узбекском,tjk,0,1,0,3
chatgpt на узбекском,tkm,0,1,0,2
chatgpt онлайн,uzb,0,5,0,5.4
chatgpt оплата,uzb,0,1,0,3
chatgpt скачать uzbek tilida,rus,0,9,0,8.444444444444445
chatgpt узбек тилида,kaz,0,2,0,7.5
chatgpt узбек тилида,sau,0,1,0,7
chatgpt узбек тилида,uzb,0,32,0,7.34375
chatgpt узбекистан,gbr,0,1,0,9
chatgpt узбекистан,rus,0,2,0,2.5
chatgpt узбекистан,uzb,0,2,0,3
chatgpt узбекча,rus,0,1,0,5
chatgpt узбекча,uzb,0,98,0,6.612244897959184
chatgpt.uz,cze,0,1,0,4
chatgpt.uz,rus,0,1,0,6
chatgpt.uz,uzb,0,79,0,4.759493670886076
chatgptga,uzb,0,22,0,6.045454545454546
chatgptga kirish,rus,0,1,0,4
chatgptni,uzb,0,15,0,5.066666666666666
chati piti online,uzb,0,5,0,8.8
chpt yuklab olish,jpn,0,2,0,7.5
chpt yuklab olish,kaz,0,9,0,8.11111111111111
chpt yuklab olish,rus,0,2,0,8
chpt yuklab olish,tur,0,3,0,9.333333333333334
chpt yuklab olish,uzb,0,19,0,6.631578947368421
cjattp,uzb,0,1,0,5
cjhatg,uzb,0,1,0,6
claude play uz,sau,0,1,0,7
claude uzbekistan,uzb,0,1,0,10
click bot telegram,uzb,0,4,0,9.25
click ochish humo,uzb,0,5,0,8.8
click telegram bot,ukr,0,1,0,10
click telegram bot,uzb,0,20,0,7.85
cnat gpt,uzb,0,3,0,6.666666666666667
cpa cpc,rus,0,1,0,38
cpa cpl,rus,0,2,0,43
cpa cpl traffic,rus,0,5,0,95.4
cpc and cpa,rus,0,1,0,81
