query,device,clicks,impressions,ctr,position
ai67109,DESKTOP,0,1,0,10
ai67189,DESKTOP,0,2,0,8
ai67226,DESKTOP,0,1,0,8
ai67545,DESKTOP,0,1,0,10
ai67622,DESKTOP,0,1,0,6
ai67623,DESKTOP,0,1,0,5
ai67628,DESKTOP,0,1,0,4
ai67901,DESKTOP,0,1,0,10
ai67903,DESKTOP,0,2,0,9
ai67905,DESKTOP,0,1,0,9
ai67963,DESKTOP,0,1,0,10
ai67963,MOBILE,0,1,0,10
ai67990,DESKTOP,0,1,0,9
ai67991,DESKTOP,0,2,0,9
ai67997,DESKTOP,0,2,0,10
ai68339,DESKTOP,0,1,0,6
ai97547,DESKTOP,0,1,0,10
al chat что это,DESKTOP,0,1,0,11
al chat что это,MOBILE,0,2,0,10.5
ammocrm,DESKTOP,0,1,0,9
arzon sifatli veb sayt yaratish xizmati,DESKTOP,0,2,0,75
audit digital marketing,DESKTOP,0,1,0,2
bepul sayt yaratish,MOBILE,0,1,0,10
bitrich ai bot,MOBILE,0,1,0,9
boss digital,DESKTOP,0,1,0,5
bot direct instagram,DESKTOP,0,4,0,17
botlar,MOBILE,0,1,0,6
cajgbt,MOBILE,0,1,0,2
cakecity,MOBILE,0,2,0,7
chach gpt,MOBILE,0,4,0,5.25
chachi piti uzb,MOBILE,0,13,0,7.384615384615385
chachi piti uzbek tilida,MOBILE,0,1,0,9
chachipiti online,DESKTOP,0,2,0,6
chachipiti oʻzbek tilida,DESKTOP,0,4,0,9
chachipiti oʻzbek tilida,MOBILE,0,157,0,8.280254777070063
chachipiti yuklash,MOBILE,0,2,0,9
chaji piti,DESKTOP,0,2,0,9
chaji piti,MOBILE,0,3,0,7.333333333333333
chaji piti online,DESKTOP,0,4,0,8
chaji piti online,MOBILE,0,39,0,5.641025641025641
chaji piti uzbek tilida,MOBILE,0,16,0,8.25
chap dpt,MOBILE,0,6,0,8
chap jtp,DESKTOP,0,1,0,4
chat chipiti online,DESKTOP,0,10,0,6.1
chat chipiti online,MOBILE,0,27,0,6.37037037037037
chat gibit,MOBILE,0,4,0,3.5
chat gpt 4 uzbek tilida,MOBILE,0,2,0,10
chat gpt 4 uzbekistan,DESKTOP,0,7,0,6.857142857142857
chat gpt kirish,DESKTOP,0,4,0,8.25
chat gpt kirish,MOBILE,0,38,0,8.078947368421051
chat gpt kirish,TABLET,0,1,0,8
chat gpt kodlari,MOBILE,0,2,0,6.5
chat gpt ozbekcha,MOBILE,0,8,0,3.625
chat gpt oʻrnatish,DESKTOP,0,1,0,8
chat gpt oʻzbekcha,MOBILE,0,8,0,7.625
chat gpt promtlar,MOBILE,0,5,0,2.6
chat gpt uchun prompt,DESKTOP,0,2,0,2
chat gpt uz,DESKTOP,0,22,0,4.272727272727273
chat gpt uzb,DESKTOP,0,6,0,4.166666666666666
chat gpt uzbek,DESKTOP,0,5,0,5
chat gpt uzbek,MOBILE,0,24,0,5.166666666666667
chat gpt uzbek,TABLET,0,5,0,4.6
chat gpt uzbek tilida,DESKTOP,0,3,0,6.666666666666667
chat gpt uzbek tilida,MOBILE,0,41,0,5.2682926829268295
chat gpt uzbekcha,DESKTOP,0,19,0,9.789473684210526
chat gpt uzbekcha,TABLET,0,2,0,6
chat gpt yuklab olish,DESKTOP,0,3,0,8.666666666666668
chat gpt yuklab olish,MOBILE,0,22,0,6.818181818181818
chat gpt yuklash,DESKTOP,0,38,0,8.210526315789473
chat gpt yuklash,TABLET,0,3,0,6.333333333333333
chat gpt боты телеграм,DESKTOP,0,1,0,71
chat gpt на узбекском языке,MOBILE,0,1,0,3
chat gpt расшифровка,DESKTOP,0,1,0,8
chat gpt расшифровка,MOBILE,0,4,0,10
chat ptgt,DESKTOP,0,1,0,6
chat uzbek,MOBILE,0,5,0,5.4
chatbot crm,DESKTOP,0,1,0,25
chatbot crm,MOBILE,0,1,0,25
chatbot for crm,DESKTOP,0,1,0,57
chatbot versus chatgpt,DESKTOP,0,1,0,82
chatbot vs gpt,DESKTOP,0,1,0,77
chatga bitta,MOBILE,0,6,0,3.5
chatgpt 4 uzbek tilida,DESKTOP,0,2,0,9.5
chatgpt 4 uzbek tilida,MOBILE,0,110,0,9.10909090909091
chatgpt 4 uzbek tilida skachat,MOBILE,0,4,0,10
chatgpt bepul,TABLET,0,1,0,6
chatgpt bepul kirish,DESKTOP,0,66,0,7.53030303030303
chatgpt bepul kirish,TABLET,0,5,0,8.4
chatgpt bilan gaplashish,DESKTOP,0,1,0,9
chatgpt bilan gaplashish,MOBILE,0,1,0,8
chatgpt biznes,MOBILE,0,2,0,6
chatgpt ga kirish,DESKTOP,0,3,0,8.333333333333332
chatgpt ga kirish,MOBILE,0,118,0,7.97457627118644
chatgpt ga kirish,TABLET,0,1,0,9
chatgpt ga yozish,DESKTOP,0,1,0,10
chatgpt ga yozish,MOBILE,0,7,0,8.285714285714285
chatgpt gaplashish,MOBILE,0,1,0,8
chatgpt ilovasi,DESKTOP,0,2,0,9.5
chatgpt ilovasini yuklab olish,TABLET,0,25,0,5.8
chatgpt ishlatish,MOBILE,0,1,0,6
chatgpt kirish,TABLET,0,171,0,7.16374269005848
chatgpt kirish login,DESKTOP,0,4,0,7
chatgpt kirish login,TABLET,0,2,0,6.5
chatgpt kirish uzbek tilida,DESKTOP,0,30,0,5.766666666666667
chatgpt o,MOBILE,0,8,0,5.5
chatgpt o rnatish,MOBILE,0,9,0,5.111111111111111
chatgpt o zbekcha tarjimon,MOBILE,0,4,0,7
chatgpt o'rnatish,DESKTOP,0,26,0,7.961538461538462
chatgpt o'zbek tilida,DESKTOP,0,2,0,3
chatgpt o'zbek tilida,MOBILE,0,6,0,8.333333333333332
chatgpt o'zbekcha,MOBILE,0,68,0,6.382352941176471
chatgpt o'zbekcha,TABLET,0,1,0,8
chatgpt o'zbekcha tarjimon,DESKTOP,0,1,0,10
chatgpt o'zbekcha tarjimon,MOBILE,0,22,0,9.454545454545455
chatgpt ochish uzbek tilida,DESKTOP,0,9,0,6.555555555555555
chatgpt ochish uzbek tilida,TABLET,0,2,0,6
chatgpt onlayn,MOBILE,0,6,0,4.833333333333334
chatgpt online,MOBILE,0,1,0,3
chatgpt online chat,MOBILE,0,1,0,4
chatgpt online kirish,DESKTOP,0,19,0,5
chatgpt online kirish,MOBILE,0,116,0,5.362068965517241
chatgpt online kirish,TABLET,0,1,0,6
chatgpt online uzbek tilida,MOBILE,0,12,0,6.583333333333333
chatgpt ozbekcha,DESKTOP,0,48,0,6.208333333333333
chatgpt oʻrnatish,DESKTOP,0,2,0,8
chatgpt oʻrnatish,MOBILE,0,19,0,8.631578947368421
chatgpt oʻzbek tilida,DESKTOP,0,7,0,7.714285714285714
chatgpt oʻzbekcha,DESKTOP,0,1,0,7
chatgpt oʻzbekcha tarjimon,MOBILE,0,25,0,6.04
chatgpt plus price uzbekistan,DESKTOP,0,1,0,1
chatgpt promptlari,MOBILE,0,1,0,5
chatgpt savol javob,MOBILE,0,3,0,3.6666666666666665
chatgpt sayt,DESKTOP,0,1,0,10
chatgpt sayt,MOBILE,0,2,0,5.5
chatgpt saytiga kirish,DESKTOP,0,3,0,6
chatgpt saytiga kirish,MOBILE,0,7,0,5.285714285714286
chatgpt skachat qilish,DESKTOP,0,1,0,8
chatgpt skachat qilish,MOBILE,0,36,0,8.722222222222221
chatgpt skachat uzbek tilida,DESKTOP,0,12,0,7.333333333333333
chatgpt tarjima,DESKTOP,0,27,0,7
chatgpt tarjima,TABLET,0,3,0,7.666666666666667
chatgpt tarjimon,DESKTOP,0,4,0,8.5
chatgpt tekin versiyasi,MOBILE,0,1,0,7
chatgpt uchun prompt,TABLET,0,1,0,6
chatgpt uz,TABLET,0,2,0,5.5
chatgpt uzb,DESKTOP,0,21,0,4.285714285714286
chatgpt uzb,TABLET,0,1,0,5
chatgpt uzbek,DESKTOP,0,6,0,5.166666666666667
chatgpt uzbek,MOBILE,0,96,0,6.6875
chatgpt uzbek tilida,DESKTOP,0,41,0,6.7560975609756095
chatgpt uzbek tilida,TABLET,0,1,0,6
chatgpt uzbek tilida gaplashish,DESKTOP,0,15,0,6.133333333333334
chatgpt uzbek tilida online,DESKTOP,0,7,0,5.857142857142857
chatgpt uzbek tilida online,TABLET,0,3,0,5.333333333333333
chatgpt uzbek tilida online ko rish,DESKTOP,0,1,0,9
chatgpt uzbek tilida online ko rish,MOBILE,0,21,0,7.285714285714286
chatgpt uzbek tilida skachat,DESKTOP,0,11,0,7.545454545454546
chatgpt uzbek tilida skachat,MOBILE,0,89,0,7.685393258426966
chatgpt uzbekcha,DESKTOP,0,142,0,6.105633802816901
chatgpt uzbekcha,TABLET,0,10,0,6.6
chatgpt uzbekcha bepul,DESKTOP,0,30,0,4.733333333333333
chatgpt uzbekcha bepul,TABLET,0,11,0,5.090909090909091
chatgpt uzbekcha online,DESKTOP,0,57,0,5.385964912280702
chatgpt uzbekcha online,TABLET,0,14,0,5
chatgpt uzbekcha tarjimon,DESKTOP,0,1,0,6
chatgpt uzbekcha tarjimon,TABLET,0,3,0,4
chatgpt uzbekcha скачать,DESKTOP,0,12,0,7.75
chatgpt uzbekcha скачать,TABLET,0,2,0,10
chatgpt uzbekistan,DESKTOP,0,20,0,4.95
chatgpt yo,MOBILE,0,1,0,8
chatgpt yozish,MOBILE,0,181,0,8.745856353591162
chatgpt yozish,TABLET,0,2,0,9.5
chatgpt yuklab olish,TABLET,0,35,0,6.228571428571429
chatgpt yuklab olish kompyuter uchun,DESKTOP,0,37,0,7.648648648648648
chatgpt yuklab olish kompyuter uchun,MOBILE,0,93,0,7.021505376344086
chatgpt yuklab olish kompyuter uchun,TABLET,0,2,0,7.5
chatgpt yuklash,DESKTOP,0,8,0,9
chatgpt yuklash,TABLET,0,6,0,7.5
chatgpt yuklash apk,TABLET,0,1,0,9
chatgpt yuklash uzbek tilida,MOBILE,0,2,0,5
chatgpt õzbekcha,MOBILE,0,47,0,7.127659574468085
chatgpt õzbekcha,TABLET,0,1,0,7
chatgpt на узбекском,MOBILE,0,43,0,4.767441860465116
chatgpt онлайн,DESKTOP,0,3,0,6.333333333333333
chatgpt онлайн,MOBILE,0,2,0,4
chatgpt оплата,MOBILE,0,1,0,3
chatgpt скачать uzbek tilida,MOBILE,0,67,0,7.044776119402985
chatgpt скачать uzbek tilida,TABLET,0,1,0,6
chatgpt узбек тилида,DESKTOP,0,7,0,7.714285714285714
chatgpt узбек тилида,MOBILE,0,28,0,7.25
chatgpt узбекистан,DESKTOP,0,2,0,5.5
chatgpt узбекча,DESKTOP,0,6,0,6
chatgpt узбекча,MOBILE,0,92,0,6.641304347826087
chatgpt узбекча,TABLET,0,1,0,6
chatgpt.uz,DESKTOP,0,19,0,5.2631578947368425
chatgpt.uz,MOBILE,0,30,0,4.866666666666667
chatgptga,DESKTOP,0,1,0,9
chatgptga,MOBILE,0,21,0,5.904761904761905
chatgptga kirish,DESKTOP,0,6,0,4.166666666666666
chatgptga kirish,TABLET,0,1,0,3
chatgptni,MOBILE,0,14,0,4.857142857142858
chati piti online,MOBILE,0,5,0,8.8
chpt yuklab olish,MOBILE,0,33,0,7.2727272727272725
cjattp,MOBILE,0,1,0,5
cjhatg,DESKTOP,0,1,0,6
claude uzbekistan,MOBILE,0,1,0,10
click bot telegram,MOBILE,0,3,0,9
click ochish humo,MOBILE,0,5,0,8.8
click telegram bot,DESKTOP,0,1,0,10
click telegram bot,MOBILE,0,10,0,8
cnat gpt,DESKTOP,0,1,0,8
cnat gpt,MOBILE,0,2,0,6
cpa cpl,DESKTOP,0,1,0,44
cpa cpl,MOBILE,0,1,0,42
cpa cpl traffic,DESKTOP,0,2,0,92.5
cpc and cpa,DESKTOP,0,1,0,81
cpc c3,DESKTOP,0,1,0,77
cpc cpa cpl cpm cpi cps ecpc ecpm cr ctr,DESKTOP,0,1,0,43
cpc cpl,DESKTOP,0,1,0,60
cpc cpm cpa,DESKTOP,0,1,0,27
cpc cpm meaning,DESKTOP,0,1,0,65
cpc vs cpl,DESKTOP,0,1,0,60
cpc что это такое в рекламе,DESKTOP,0,1,0,90
cpl cpm,DESKTOP,0,1,0,59
cpm ctr cpc cpl cpa,DESKTOP,0,1,0,76
crm chatbot,DESKTOP,0,1,0,70
crm with chatbot,DESKTOP,0,1,0,70
crm with chatbot,MOBILE,0,1,0,71
ctr cpl,DESKTOP,0,1,0,75
digital агентство,DESKTOP,0,1,0,41
digital услуги,DESKTOP,0,1,0,43
direct nima,MOBILE,0,1,0,9
direct nima degani,MOBILE,0,1,0,9
"domen nomi *.som bilan tugatilsa, qaysi tashkilot yoki muassasaga tegishli bo’ladi?",DESKTOP,0,3,0,7.666666666666667
google ads and seo,MOBILE,0,1,0,9
gp[t,DESKTOP,0,1,0,8
gpat gpt,MOBILE,0,1,0,10
gpt automation petrixbot,DESKTOP,0,1,0,4
gpt bot,DESKTOP,0,3,0,5.333333333333333
gpt bot,MOBILE,0,8,0,2.875
gpt chat на русском языке,DESKTOP,0,1,0,67
gpt vs chatgpt,DESKTOP,0,1,0,6
gpt для учебы,DESKTOP,0,5,0,20
gpt для учебы,MOBILE,0,2,0,21
gpt на русском онлайн,DESKTOP,0,1,0,22
gpt написать текст,MOBILE,0,1,0,65
gpt оплата,MOBILE,0,1,0,2
gpt расшифровка,DESKTOP,0,1,0,14
gpt расшифровка,MOBILE,0,2,0,10
gpt чат онлайн,MOBILE,0,1,0,12
gptplanet com отзывы,DESKTOP,0,1,0,27
instachi,MOBILE,0,1,0,2
instagram chi,MOBILE,0,1,0,3
instagram direct nima,DESKTOP,0,1,0,9
instagram direct nima,MOBILE,0,28,0,6.928571428571429
instagramda direct nima,MOBILE,0,11,0,8.09090909090909
instagramda eng ko'p obunachi kimda,DESKTOP,0,1,0,25
instagramda eng ko'p obunachi kimda,MOBILE,0,1,0,29
internet reklama,DESKTOP,0,1,0,18
jaji piti,MOBILE,0,5,0,4.2
jaji piti bot,DESKTOP,0,3,0,6.333333333333333
jaji piti bot,MOBILE,0,17,0,5.647058823529412
jaji piti online,DESKTOP,0,23,0,7.043478260869565
jaji piti online,TABLET,0,1,0,6
jajipiti,MOBILE,0,1,0,10
jatgbt,DESKTOP,0,1,0,4
jatgbt,MOBILE,0,1,0,5
jipi chat,MOBILE,0,1,0,11
jtp чат,DESKTOP,0,7,0,6.285714285714286
jtp чат,MOBILE,0,5,0,5.8
lchat hpt,MOBILE,0,1,0,4
lead что это,MOBILE,0,1,0,81
lid это,DESKTOP,0,3,0,11
lid это,MOBILE,0,1,0,10
marketing,DESKTOP,0,4,0,45.25
marketing,MOBILE,0,2,0,43
marketing haqida,DESKTOP,0,1,0,55
marketing kit,MOBILE,0,2,0,29
marketing nima,DESKTOP,0,5,0,17.4
marketing nima,MOBILE,0,1,0,21
marketing nima uchun kerak,MOBILE,0,1,0,10
marketing nma,MOBILE,0,1,0,10
mini app,DESKTOP,0,1,0,78
nachat gpt,DESKTOP,0,1,0,8
o'zbekistonda biznes uchun ai bot,DESKTOP,0,5,0,3.6
o'zbekistonda biznes uchun ai bot,MOBILE,0,35,0,19.914285714285715
oddiy so'rov uzbek tilida,DESKTOP,0,4,0,10.75
oddiy so'rov uzbek tilida,MOBILE,0,2,0,9.5
onlayn chatgpt,DESKTOP,0,16,0,5.4375
onlayn chatgpt,MOBILE,0,69,0,6.304347826086956
onlayn chatgpt,TABLET,0,2,0,5
online,MOBILE,0,1,0,4
online chatgpt,MOBILE,0,1,0,6
open ai это,MOBILE,0,1,0,3
payme click,MOBILE,0,4,0,9.5
payme telegram,MOBILE,0,2,0,10
payme telegram bot,MOBILE,0,12,0,8.166666666666668
performance marketing,MOBILE,0,1,0,9
python telegram bot,MOBILE,0,3,0,34.333333333333336
qayerdan yuklab olsam buladi,MOBILE,0,1,0,3
salon bot,MOBILE,0,1,0,6
savollarga javoblar beruvchi bot,MOBILE,0,26,0,8.346153846153847
sayt tayyorlash,DESKTOP,0,1,0,84
sayt tuzish,DESKTOP,0,1,0,29
sayt yaratish,DESKTOP,0,5,0,41
sayt yaratish,MOBILE,0,2,0,29.5
sayt yaratish narxi,DESKTOP,0,1,0,16
sayt yaratish xizmati,DESKTOP,0,6,0,73.33333333333333
sayt yaratish xizmati,MOBILE,0,3,0,69
seo smm продвижение,DESKTOP,0,1,0,7
seo xizmati,DESKTOP,0,2,0,14.5
seo xizmati,MOBILE,0,1,0,34
seo аудит пример,DESKTOP,0,1,0,95
seo аудит сайта цена,DESKTOP,0,1,0,14
seo аудит сайта чек лист,DESKTOP,0,1,0,48
seo аудит чек лист,DESKTOP,0,1,0,76
seo в ташкенте,DESKTOP,0,22,0,45.63636363636363
seo данные это,DESKTOP,0,2,0,84.5
seo компания,DESKTOP,0,1,0,15
seo оптимизация в ташкенте,DESKTOP,0,1,0,47
seo оптимизация сайта стоимость,DESKTOP,0,3,0,18.333333333333332
seo оптимизация сайтов в ташкенте,DESKTOP,0,2,0,76.5
seo оптимизация ташкент,DESKTOP,0,1,0,44
seo оптимизация ташкент,MOBILE,0,1,0,52
seo продвижение,DESKTOP,0,170,0,60.241176470588236
seo продвижение,MOBILE,0,58,0,60.39655172413793
seo продвижение seo маркетинг,DESKTOP,0,1,0,11
seo продвижение в поиске,DESKTOP,0,1,0,36
seo продвижение в сети,DESKTOP,0,1,0,10
seo продвижение в ташкенте,DESKTOP,0,1,0,44
seo продвижение в ташкенте,MOBILE,0,1,0,74
seo продвижение выгодная цена,DESKTOP,0,1,0,18
seo продвижение запросы,DESKTOP,0,2,0,32
seo продвижение информационного сайта,DESKTOP,0,1,0,38
seo продвижение как работает,DESKTOP,0,1,0,70
seo продвижение компании,DESKTOP,0,1,0,20
seo продвижение компании цена,DESKTOP,0,1,0,8
seo продвижение недорого,DESKTOP,0,1,0,25
seo продвижение поисковиках,DESKTOP,0,1,0,7
seo продвижение проекта,DESKTOP,0,1,0,48
seo продвижение сайта,DESKTOP,0,1,0,62
seo продвижение сайта в ташкенте,DESKTOP,0,3,0,46
seo продвижение сайта заказать,DESKTOP,0,2,0,16.5
seo продвижение сайта недорого,DESKTOP,0,1,0,21
seo продвижение сайта цена,DESKTOP,0,3,0,17.666666666666668
seo продвижение сайта цена,MOBILE,0,2,0,17
seo продвижение сайта что это,DESKTOP,0,2,0,82
seo продвижение сайта что это,MOBILE,0,8,0,68.125
seo продвижение сайта что это такое,DESKTOP,0,1,0,77
seo продвижение сайта это,DESKTOP,0,3,0,70.33333333333333
seo продвижение сайта это,MOBILE,0,9,0,63.77777777777778
seo продвижение сайтов,DESKTOP,0,72,0,54.94444444444444
seo продвижение сайтов,MOBILE,0,36,0,53.72222222222222
seo продвижение сайтов,TABLET,0,1,0,62
seo продвижение сайтов в поиске,DESKTOP,0,2,0,13
seo продвижение сайтов стоимость,DESKTOP,0,1,0,21
seo продвижение сайтов услуги,DESKTOP,0,1,0,13
seo продвижение сайтов что это,DESKTOP,0,2,0,67
seo продвижение сайтов что это такое,DESKTOP,0,1,0,56
seo продвижение сети сайтов,DESKTOP,0,1,0,10
seo продвижение ташкент,DESKTOP,0,2,0,33.5
seo продвижение услуги,DESKTOP,0,1,0,14
seo продвижение цена,DESKTOP,0,4,0,10.5
seo продвижение цена,MOBILE,0,3,0,15
seo продвижение цена в месяц,DESKTOP,0,1,0,9
seo продвижение цены,DESKTOP,0,2,0,9
seo продвижение что входит,DESKTOP,0,1,0,48
seo продвижение что это,DESKTOP,0,7,0,62
seo продвижение что это,MOBILE,0,13,0,62.76923076923077
seo продвижение что это такое,DESKTOP,0,4,0,75.5
seo продвижение это,DESKTOP,0,23,0,66.8695652173913
seo продвижение это,MOBILE,0,21,0,57.095238095238095
seo продвижение это простым языком,DESKTOP,0,1,0,52
seo продвижение это что,DESKTOP,0,3,0,65.66666666666667
seo продвижению,DESKTOP,0,1,0,48
seo продвижению,MOBILE,0,1,0,56
seo продвижения,MOBILE,0,1,0,57
seo продвижения это,DESKTOP,0,2,0,53
seo раскрутка,DESKTOP,0,3,0,31.333333333333332
seo раскрутка сайта,DESKTOP,0,1,0,14
seo раскрутка сайта заказать,DESKTOP,0,1,0,26
seo раскрутка сайтов,DESKTOP,0,2,0,15
seo раскрутка сайтов недорого,DESKTOP,0,1,0,28
seo сайта стоимость,DESKTOP,0,2,0,5.5
seo ташкент,DESKTOP,0,28,0,37.107142857142854
seo ташкент,MOBILE,0,2,0,54.5
seo услуги,DESKTOP,0,1,0,11
seo чек лист,DESKTOP,0,2,0,88.5
shu haqda maʼlumot,MOBILE,0,1,0,1
smm,MOBILE,0,1,0,10
smm mutaxassisi,MOBILE,0,1,0,46
smm nima,DESKTOP,0,4,0,43.25
smm nima,MOBILE,0,3,0,38
smm tashkent,MOBILE,0,1,0,13
smm xizmati,DESKTOP,0,7,0,48
smm xizmati,MOBILE,0,1,0,53
smm xizmatlari,DESKTOP,0,2,0,18.5
smm xizmatlari,MOBILE,0,4,0,34
smm маркетинг в ташкенте,DESKTOP,0,3,0,80.33333333333333
